Term,PosScore,NegScore,hindi
rare,0.0,0.875,दुर्लभ
avirulent,0.0,0.875,असंक्रामक
nonadhesive,0.0,0.75,nonadhesive
ungummed,0.0,0.75,वह गर्भवती है
acrophobic,0.0,0.75,acrophobic
agoraphobic,0.0,0.75,एगोराफोबिक
algophobic,0.0,0.875,algophobic
claustrophobic,0.0,0.75,क्लॉस्टेरोफोबिया
mysophobic,0.0,0.75,mysophobic
xenophobic,0.0,0.75,ज़नोफोबिक
unagitated,0.0,0.75,unagitated
malapropos,0.25,0.75,कुसमय
aphasic,0.0,0.75,वाक्यरोध संबंधी
thunderous,0.125,0.875,गरजनदार
unconscious,0.0,0.75,बेहोश
unstratified,0.0,0.75,unstratified
fugly,0.0,0.75,fugly
unbanded,0.0,0.75,unbanded
maleficent,0.0,0.75,नुक़सानदेह
venomed,0.125,0.75,venomed
vixenish,0.0,0.875,झगड़ालू
uncompartmented,0.0,0.75,uncompartmented
slate-black,0.0,0.75,स्लेट काला
augean,0.222,0.778,Augean
dirty-faced,0.0,0.75,गंदे का सामना करना पड़ा
smudgy,0.0,0.75,मैला
unswept,0.0,0.75,unswept
unwashed,0.0,0.75,मैला
uncousinly,0.0,0.75,uncousinly
fogbound,0.0,0.75,fogbound
unpublishable,0.25,0.75,unpublishable
comfortless,0.0,0.875,असुविधाजनक
uncommercial,0.0,0.75,अव्यवसायिक
unworkmanlike,0.25,0.75,काम करनेवाला जैसा नहीं
noncompetitive,0.0,0.75,ग़ैर प्रतियोगी
uncommitted,0.0,0.75,अशुद्ध
unconquerable,0.125,0.75,अजेय
ravaging,0.0,0.75,विनाशकारी
unchallengeable,0.0,0.75,असहनीय
unargumentative,0.0,0.75,unargumentative
noncontentious,0.0,0.75,noncontentious
inconvenient,0.125,0.75,असुविधाजनक
unconventional,0.0,0.75,अपरंपरागत
conformist,0.0,0.75,कंफ़मिस्ट
unpersuasive,0.0,0.75,unpersuasive
raw,0.0,0.75,कच्चा
untoasted,0.0,0.75,untoasted
putrid,0.3,0.7,सड़ा हुआ
antiphlogistic,0.0,0.75,सूजन घटानेवाली
wrongheaded,0.25,0.75,wrongheaded
uncorrected,0.0,0.75,uncorrected
unremedied,0.0,0.75,unremedied
constipated,0.0,0.75,कब्ज़
overcredulous,0.0,0.75,overcredulous
censorious,0.0,0.875,सख़्त
uncritical,0.0,0.75,हितैषी
noncurrent,0.0,0.75,noncurrent
knocked-out,0.0,0.875,पटक देना
storm-beaten,0.0,0.75,आंधी से फटा
undatable,0.0,0.75,undatable
undeclared,0.0,0.75,पहले से न सोचा
indefeasible,0.0,0.75,अपरिहार्य
nonresistant,0.0,0.75,nonresistant
infrangible,0.0,0.75,अक्षय
peremptory,0.0,0.75,आज्ञसूचक
undemonstrative,0.0,0.75,नमूने का नहीं
undeniable,0.0,0.875,निर्विवाद
dependent,0.0,0.75,आश्रित
undescriptive,0.125,0.75,undescriptive
undiplomatic,0.0,0.75,अकूटनैतिक
alienating,0.0,0.75,अलगाव की भावना
indirect,0.0,0.75,अप्रत्यक्ष
promiscuous,0.0,0.75,अनेक
unselective,0.125,0.75,unselective
indistinct,0.25,0.75,अस्पष्ट
indiscrete,0.0,0.75,उदासीनता से
untheatrical,0.0,0.75,untheatrical
uneducated,0.25,0.75,अशिक्षित
sisyphean,0.0,0.75,Sisyphean
unemployable,0.0,0.75,बेरोजगार
unburdened,0.0,0.75,निर्भार
unexportable,0.25,0.75,unexportable
remittent,0.125,0.75,प्रेषण का
nostalgic,0.0,0.75,उदासीन
homesick,0.0,0.75,घर के बाहर रहने से खिन्न
unquestionable,0.0,0.75,निर्विवाद
patchy,0.0,0.75,विचित्र
unparallel,0.0,0.875,unparallel
unexchangeable,0.25,0.75,unexchangeable
nonextant,0.0,0.75,nonextant
unexpendable,0.25,0.75,unexpendable
fingerless,0.0,0.75,fingerless
inextinguishable,0.0,0.875,सदा जलानेवाला
unfastidious,0.0,0.75,unfastidious
blubbery,0.125,0.75,blubbery
infelicitous,0.0,0.75,ख़राब
unhewn,0.0,0.75,रूढ़
unsuitable,0.0,0.75,अनुपयुक्त
adventive,0.0,0.75,adventive
abject,0.0,1.0,अधम
niffy,0.0,0.75,niffy
putrid-smelling,0.3,0.7,सड़ा हुआ महक
unfree,0.0,0.75,unfree
addled,0.0,0.75,सड़ाया हुआ
day-old,0.0,0.875,दिन पुरानी
unfruitful,0.0,0.75,unfruitful
sperm-filled,0.0,0.75,शुक्राणु से भरे
nonfunctional,0.0,0.75,अक्रिय
nonproprietary,0.0,0.75,Nonproprietary
base,0.0,0.875,आधार
pseudo,0.0,0.75,मिथ्या
synthetic,0.125,0.875,कृत्रिम
no-go,0.0,0.75,नही जाओ
ill,0.0,0.875,बीमार
swingeing,0.0,0.875,ताक़तवर
uncool,0.0,0.875,uncool
unsuitable,0.222,0.778,अनुपयुक्त
evil-minded,0.0,0.75,दुष्टात्मा
churlish,0.0,0.875,अक्खड़
churlish,0.25,0.75,अक्खड़
fulminant,0.0,0.75,एकाएक बढ़ानेवाला
appreciative,0.25,0.75,सराहना
unappreciative,0.0,0.75,unappreciative
ill,0.0,0.75,बीमार
bloodshot,0.0,0.75,रक्तमय
caseous,0.0,0.75,किलाटी
inflamed,0.0,0.875,सूजन
sore-eyed,0.0,0.75,गले में आंखों
varicose,0.0,0.875,वैरिकाज़
light-duty,0.0,0.75,मामूली कर्त्तव्य
low-level,0.0,0.75,निम्न स्तर
nonimitative,0.0,0.75,nonimitative
yellow,0.0,0.75,पीला
insoluble,0.0,0.75,अघुलनशील
torrid,0.0,0.75,गरम
stygian,0.0,0.75,Stygian
undesigned,0.0,0.75,नाहक
unsmoothed,0.0,0.75,unsmoothed
anisotropic,0.0,0.75,अनिसोट्रोपिक
bittersweet,0.0,0.75,भावभीनी
joyless,0.125,0.75,उदास
unsmiling,0.0,0.75,unsmiling
watertight,0.0,0.75,निर्विवाद
unlisted,0.0,0.75,गैर-सूचीबद्ध
unextended,0.0,0.75,unextended
stray,0.0,0.75,भटका हुआ
straying,0.0,0.75,भटक
apotropaic,0.0,0.75,apotropaic
unbranded,0.0,0.75,बिना ब्रांड
unfeminine,0.25,0.75,unfeminine
unconcerned,0.0,0.75,उदासीन
unsoldierly,0.0,0.75,unsoldierly
immobile,0.0,0.75,स्तब्ध
unmodified,0.0,0.75,असंशोधित
unadapted,0.0,0.75,unadapted
univalent,0.0,0.75,univalent
factitious,0.0,0.75,नक़ली
supernatural,0.0,0.75,अलौकिक
grotty,0.0,0.875,grotty
subnormal,0.0,0.75,सामान्य से कम
paranormal,0.0,0.875,असाधारण
innocuous,0.0,0.75,अहानिकर
unoccupied,0.0,0.75,खुला हुआ
scrimy,0.0,1.0,scrimy
verminous,0.0,0.875,घिनौना
odoriferous,0.222,0.778,सुगंधित
unofficial,0.0,0.75,अनौपचारिक
unestablished,0.0,0.75,unestablished
off-street,0.0,0.75,प्रधान मार्ग पर
off-line,0.0,0.75,बंद लाइन
off,0.0,0.75,बंद
inconvenient,0.0,0.75,असुविधाजनक
unopposed,0.0,0.75,निर्विरोध
unmethodical,0.0,0.75,unmethodical
artificial,0.0,0.75,कृत्रिम
stunning,0.0,0.75,चौका देने वाला
underivative,0.0,0.875,underivative
unoriginal,0.0,0.75,नक़ल करनेवाला
slavish,0.0,0.75,कमीना
painless,0.0,0.75,दर्दरहित
unpainted,0.0,0.875,रंगी
unoiled,0.0,0.75,Unoiled
unpaintable,0.0,0.75,unpaintable
unpalatable,0.125,0.75,कड़ा
unforbearing,0.0,0.875,unforbearing
unpaved,0.0,0.75,कच्ची
unpeaceful,0.0,0.75,unpeaceful
unpeaceable,0.0,0.875,unpeaceable
inadmissible,0.0,0.75,अस्वीकार्य
unpermissive,0.125,0.75,unpermissive
unperplexed,0.0,0.75,unperplexed
impenetrable,0.0,0.75,अभेद्य
rot-resistant,0.0,0.75,सड़ांध के लिए प्रतिरोधी
nonpsychoactive,0.0,0.75,nonpsychoactive
off-putting,0.0,0.75,ऑफ डाल
raw,0.0,0.75,कच्चा
imponderable,0.0,0.875,हलका
neutral,0.125,0.75,तटस्थ
