Term,PosScore,NegScore,Bangla
rare,0.0,0.875,বিরল
avirulent,0.0,0.875,avirulent
nonadhesive,0.0,0.75,nonadhesive
ungummed,0.0,0.75,সে গর্ভবতী
acrophobic,0.0,0.75,acrophobic
agoraphobic,0.0,0.75,agoraphobic
algophobic,0.0,0.875,algophobic
claustrophobic,0.0,0.75,আবদ্ধতার অনুভূতি-জাগানো
mysophobic,0.0,0.75,mysophobic
xenophobic,0.0,0.75,xenophobic
unagitated,0.0,0.75,অক্ষুব্ধ
malapropos,0.25,0.75,বেমানানভাবে
aphasic,0.0,0.75,aphasic
thunderous,0.125,0.875,আনক
unconscious,0.0,0.75,অজ্ঞান
unstratified,0.0,0.75,অ-স্তরীভূত
fugly,0.0,0.75,Fugly
unbanded,0.0,0.75,unbanded
maleficent,0.0,0.75,অপরাধপূর্ণ
venomed,0.125,0.75,বিষময়
vixenish,0.0,0.875,বদমেজাজী
uncompartmented,0.0,0.75,uncompartmented
slate-black,0.0,0.75,স্লেট কালো
augean,0.222,0.778,দুর্নীতি
dirty-faced,0.0,0.75,মলিন-মুখোমুখি
smudgy,0.0,0.75,নোংরা প্রলেপযুক্ত
unswept,0.0,0.75,unswept
unwashed,0.0,0.75,আধোয়
uncousinly,0.0,0.75,uncousinly
fogbound,0.0,0.75,fogbound
unpublishable,0.25,0.75,unpublishable
comfortless,0.0,0.875,সুখস্বাচ্ছঁদাবিহীন
uncommercial,0.0,0.75,অব্যবসায়িক
unworkmanlike,0.25,0.75,unworkmanlike
noncompetitive,0.0,0.75,অপ্রিজোগিতামূলক
uncommitted,0.0,0.75,মুক্ত
unconquerable,0.125,0.75,অজেয়
ravaging,0.0,0.75,ravaging
unchallengeable,0.0,0.75,অপরিবর্তনীয়
unargumentative,0.0,0.75,unargumentative
noncontentious,0.0,0.75,noncontentious
inconvenient,0.125,0.75,অসুবিধাজনক
unconventional,0.0,0.75,রীতিবিরুদ্ধ
conformist,0.0,0.75,অনুগামী ব্যক্তি
unpersuasive,0.0,0.75,unpersuasive
raw,0.0,0.75,কাঁচা
untoasted,0.0,0.75,untoasted
putrid,0.3,0.7,পচা
antiphlogistic,0.0,0.75,স্ফীতিবারক
wrongheaded,0.25,0.75,wrongheaded
uncorrected,0.0,0.75,অসংশোধিত
unremedied,0.0,0.75,unremedied
constipated,0.0,0.75,কোষ্ঠকাঠিন্য
overcredulous,0.0,0.75,overcredulous
censorious,0.0,0.875,ছিদ্রান্বেষী
uncritical,0.0,0.75,সমালোচনাকর নহে এমন
noncurrent,0.0,0.75,noncurrent
knocked-out,0.0,0.875,ছিটকে আউট
storm-beaten,0.0,0.75,ঝড়ে ক্ষতিগ্রস্ত
undatable,0.0,0.75,undatable
undeclared,0.0,0.75,অঘোষিত
indefeasible,0.0,0.75,অখণ্ডনীয়
nonresistant,0.0,0.75,nonresistant
infrangible,0.0,0.75,অভঙ্গনীয়
peremptory,0.0,0.75,সুদৃঢ়
undemonstrative,0.0,0.75,প্রকাশ করে না এমন
undeniable,0.0,0.875,অনস্বীকার্য
dependent,0.0,0.75,নির্ভরশীল
undescriptive,0.125,0.75,undescriptive
undiplomatic,0.0,0.75,কূটনীতিবিরূদ্ধ
alienating,0.0,0.75,বিচ্ছিন্নতাবাদী
indirect,0.0,0.75,পরোক্ষ
promiscuous,0.0,0.75,এলোমেলো
unselective,0.125,0.75,unselective
indistinct,0.25,0.75,অস্ফুট
indiscrete,0.0,0.75,অনিচ্ছাপূর্বক
untheatrical,0.0,0.75,untheatrical
uneducated,0.25,0.75,অশিক্ষিত
sisyphean,0.0,0.75,sisyphean
unemployable,0.0,0.75,চাকরির অযোগ্য
unburdened,0.0,0.75,দূর্বিষহ নেমে আসতে
unexportable,0.25,0.75,unexportable
remittent,0.125,0.75,সবিরাম
nostalgic,0.0,0.75,স্বদেশে ফেরার আকুলতাসংক্রাঁত
homesick,0.0,0.75,স্বদেশে ফেরার জন্য কাতর
unquestionable,0.0,0.75,অবিসন্বাদিত
patchy,0.0,0.75,বেমানান
unparallel,0.0,0.875,অতুলনীয়
unexchangeable,0.25,0.75,unexchangeable
nonextant,0.0,0.75,nonextant
unexpendable,0.25,0.75,unexpendable
fingerless,0.0,0.75,fingerless
inextinguishable,0.0,0.875,অনির্বাণ
unfastidious,0.0,0.75,unfastidious
blubbery,0.125,0.75,blubbery
infelicitous,0.0,0.75,বেমানান
unhewn,0.0,0.75,unhewn
unsuitable,0.0,0.75,অনুপযুক্ত
adventive,0.0,0.75,adventive
abject,0.0,1.0,পতিত
niffy,0.0,0.75,দুর্গন্ধময়
putrid-smelling,0.3,0.7,পচা-গন্ধ
unfree,0.0,0.75,unfree
addled,0.0,0.75,ঘোলা
day-old,0.0,0.875,দিন বয়সী
unfruitful,0.0,0.75,নিষ্ফল
sperm-filled,0.0,0.75,শুক্রাণু-পূরণ
nonfunctional,0.0,0.75,nonfunctional
nonproprietary,0.0,0.75,nonproprietary
base,0.0,0.875,ভিত্তি
pseudo,0.0,0.75,ছদ্ম
synthetic,0.125,0.875,কৃত্রিম
no-go,0.0,0.75,নো গো
ill,0.0,0.875,অসুস্থ
swingeing,0.0,0.875,swingeing
uncool,0.0,0.875,ফালতু ধ্যান
unsuitable,0.222,0.778,অনুপযুক্ত
evil-minded,0.0,0.75,মতিচ্ছন্ন
churlish,0.0,0.875,রূক্ষ
churlish,0.25,0.75,রূক্ষ
fulminant,0.0,0.75,অকস্মাৎ বর্ধনশীল
appreciative,0.25,0.75,রসিক
unappreciative,0.0,0.75,উপলব্ধি করিতে অক্ষম
ill,0.0,0.75,অসুস্থ
bloodshot,0.0,0.75,রক্তরাঙা
caseous,0.0,0.75,caseous
inflamed,0.0,0.875,উদ্দীপ্ত
sore-eyed,0.0,0.75,কালশিটে নেত্রবিশিষ্ট
varicose,0.0,0.875,স্থায়িভাবে স্ফীত বা বর্ধিত
light-duty,0.0,0.75,হালকা দায়িত্ব
low-level,0.0,0.75,নিম্ন স্তরের
nonimitative,0.0,0.75,nonimitative
yellow,0.0,0.75,হলুদ
insoluble,0.0,0.75,ব্যাখ্যাতীত
torrid,0.0,0.75,উষ্ণ
stygian,0.0,0.75,অলঙ্ঘনীয় প্রতিজ্ঞা
undesigned,0.0,0.75,অনিচ্ছাকৃত
unsmoothed,0.0,0.75,unsmoothed
anisotropic,0.0,0.75,একটি ধারনার
bittersweet,0.0,0.75,Bittersweet
joyless,0.125,0.75,নিরানন্দ
unsmiling,0.0,0.75,গম্ভীর
watertight,0.0,0.75,জলরোধী
unlisted,0.0,0.75,তালিকাবহির্ভূত
unextended,0.0,0.75,অব্যাপ্ত
stray,0.0,0.75,বিপথগামী
straying,0.0,0.75,পথভ্রষ্টতা
apotropaic,0.0,0.75,apotropaic
unbranded,0.0,0.75,ব্র্যান্ডহীন
unfeminine,0.25,0.75,অ-নারীসুলভ
unconcerned,0.0,0.75,নির্লিপ্ত
unsoldierly,0.0,0.75,unsoldierly
immobile,0.0,0.75,গতিহীন
unmodified,0.0,0.75,অপরিবর্তিত
unadapted,0.0,0.75,unadapted
univalent,0.0,0.75,একযোজী
factitious,0.0,0.75,কপট
supernatural,0.0,0.75,অতিপ্রাকৃত
grotty,0.0,0.875,বিশ্রী
subnormal,0.0,0.75,উপাভিলম্ব
paranormal,0.0,0.875,অস্বভাবী
innocuous,0.0,0.75,নির্দোষ
unoccupied,0.0,0.75,অনধিকৃত
scrimy,0.0,1.0,scrimy
verminous,0.0,0.875,কীটমূষিকাদিজনিত
odoriferous,0.222,0.778,গন্ধযুক্ত
unofficial,0.0,0.75,বেসরকারী
unestablished,0.0,0.75,অপ্রতিষ্ঠিত
off-street,0.0,0.75,বন্ধ-রাস্তা
off-line,0.0,0.75,অফ লাইনে
off,0.0,0.75,বন্ধ
inconvenient,0.0,0.75,অসুবিধাজনক
unopposed,0.0,0.75,বাধাহীন
unmethodical,0.0,0.75,নিয়মবহির্ভূত
artificial,0.0,0.75,কৃত্রিম
stunning,0.0,0.75,অত্যাশ্চর্য
underivative,0.0,0.875,underivative
unoriginal,0.0,0.75,কারুর কনটেন্ট কপি
slavish,0.0,0.75,দাসসুলভ
painless,0.0,0.75,যন্ত্রণাহীন
unpainted,0.0,0.875,unpainted
unoiled,0.0,0.75,unoiled
unpaintable,0.0,0.75,unpaintable
unpalatable,0.125,0.75,বিস্বাদ
unforbearing,0.0,0.875,unforbearing
unpaved,0.0,0.75,কাঁচা
unpeaceful,0.0,0.75,unpeaceful
unpeaceable,0.0,0.875,unpeaceable
inadmissible,0.0,0.75,অগ্রাহ্য
unpermissive,0.125,0.75,unpermissive
unperplexed,0.0,0.75,unperplexed
impenetrable,0.0,0.75,অভেদ্য
rot-resistant,0.0,0.75,পচা-প্রতিরোধী
nonpsychoactive,0.0,0.75,nonpsychoactive
off-putting,0.0,0.75,বন্ধ-নির্বাণ
raw,0.0,0.75,কাঁচা
imponderable,0.0,0.875,ভারহীন
neutral,0.125,0.75,নিরপেক্ষ
out,0.0,0.875,আউট
unfunctional,0.0,0.75,unfunctional
cretinous,0.0,0.875,স্থূলবুদ্ধি-সংপন্ন
secondary,0.0,0.75,মাধ্যমিক
nonpublic,0.0,0.75,nonpublic
lay,0.0,0.75,লে
lean,0.125,0.75,রোগা
unremunerative,0.0,0.75,অলাভজনক
out-of-the-way,0.0,0.75,পথের বাইরে
unimpeachable,0.0,0.75,অনিন্দ্য
unquiet,0.0,0.75,অস্থির
flat-footed,0.0,0.75,বেটাল পাত্তয়ালা
unprocessed,0.0,0.75,অপ্রক্রিয়াজাত
untreated,0.0,0.75,অপরিশোধিত
raw,0.0,0.75,কাঁচা
untreated,0.0,0.875,অপরিশোধিত
assimilative,0.0,0.75,assimilative
unexpansive,0.0,0.75,unexpansive
moneyless,0.0,0.75,টাকাকড়িশূন্য
out,0.0,0.75,আউট
manic-depressive,0.0,0.75,খেদোন্মত্ত-বিষণ্ণতা
psychotic,0.0,0.75,মনোরোগের
saturnine,0.125,0.75,বিষণ্ণ মেজাজসম্পন্ন
unconscientious,0.0,0.75,unconscientious
fail-safe,0.0,0.75,ব্যর্থতার নিরাপত্তা
junior,0.0,0.75,ছোট
frivolous,0.0,0.75,অসার
broken-down,0.0,0.875,ভেঙ্গে পড়া
nonresident,0.0,0.75,অনাবাসিক
nonnomadic,0.0,0.75,nonnomadic
unformed,0.0,0.75,অমূর্ত
FALSE,0.125,0.75,মিথ্যা
feigned,0.125,0.875,ছলনাপূর্ণ
unsized,0.0,0.75,unsized
unsorted,0.0,0.75,পাঁচমিশালী
unshuttered,0.0,0.75,unshuttered
unsociable,0.0,0.75,অসামাজিক
ungregarious,0.0,0.75,ungregarious
unsold,0.0,0.75,অবিক্রীত
nonstandard,0.125,0.75,নন-স্ট্যান্ডার্ড
nonstandard,0.125,0.875,নন-স্ট্যান্ডার্ড
nonnormative,0.0,0.75,nonnormative
nonstandard,0.0,0.75,নন-স্ট্যান্ডার্ড
unstressed,0.0,0.75,স্বরাঘাতহীন
low-grade,0.222,0.778,নিম্ন মানের
unimpressionable,0.0,0.75,unimpressionable
soured,0.0,0.75,তিক্ত হয়ে
unsuspected,0.125,0.75,সন্দেহভাজন নহে এমন
unswept,0.0,0.75,unswept
unsympathetic,0.0,0.875,সমব্যথাহীন
temperate,0.125,0.75,নাতিশীতোষ্ণ
unkempt,0.0,0.75,আলুলায়িত
ungroomed,0.125,0.75,ungroomed
intolerant,0.125,0.75,অসহিষ্ণু
intestate,0.0,0.75,অকৃত উইলকারী
tough,0.0,0.75,শক্ত
unmalleable,0.0,0.75,unmalleable
FALSE,0.0,0.75,মিথ্যা
undivided,0.0,0.875,অবিভক্ত
dystopian,0.0,0.75,dystopian
FALSE,0.0,0.75,মিথ্যা
manky,0.3,0.7,manky
occult,0.0,0.875,অতিপ্রাকৃত
consumptive,0.0,0.75,ক্ষয়কারী
dyspeptic,0.0,0.75,বদহজম
palsied,0.0,0.75,পক্ষাঘাতগ্রস্ত
scrofulous,0.0,0.875,গণ্ডমালা-রোগগ্রস্ত
unwholesome,0.125,0.75,ক্ষতিকর
benign,0.0,0.75,ফলপ্রদ
immunodeficient,0.0,0.75,immunodeficient
anasarcous,0.0,0.75,anasarcous
immunocompromised,0.0,0.75,immunocompromised
aversive,0.125,0.75,aversive
nonenzymatic,0.0,0.75,nonenzymatic
tetanic,0.0,0.75,ধনুষ্টংকার রোগগত
tetanic,0.0,0.75,ধনুষ্টংকার রোগগত
unposed,0.0,0.75,unposed
conquest,0.0,0.75,বিজয়
hyperemesis,0.0,0.75,hyperemesis
bronchospasm,0.0,0.75,bronchospasm
palliation,0.0,0.75,লঘুকরণ
overexertion,0.0,0.875,overexertion
abduction,0.0,1.0,অপহরণ
scatophagy,0.0,0.75,scatophagy
underproduction,0.0,0.75,স্বাভাবিক উত্পাদনের চেয়ে বা প্রয়োজনের অনুপাতে কম উত্পাদা
armageddon,0.0,0.75,আর্মাগেডন
misdeal,0.0,0.75,ভুলভাবে বাঁটা
rotavirus,0.0,0.75,rotavirus
rockweed,0.0,0.75,rockweed
kitsch,0.125,0.75,কিচেন
lenitive,0.0,0.875,রেচক
stinker,0.0,0.75,গন্ধ পাচ্ছি
disagreeableness,0.0,0.875,অপ্রীতি
levity,0.125,0.875,চপলতা
unapproachability,0.125,0.75,unapproachability
unfriendliness,0.0,0.875,অস্নেহ
uncongeniality,0.25,0.75,uncongeniality
unneighborliness,0.0,0.875,unneighborliness
unpleasingness,0.125,0.75,unpleasingness
shiftiness,0.125,0.75,ধুর্তত্য
granite,0.0,0.75,গ্র্যানিত্শিলা
disagreeableness,0.125,0.875,অপ্রীতি
beastliness,0.0,0.75,পশুত্ব
unnaturalness,0.0,0.875,অস্বাভাবিকতা
inadmissibility,0.125,0.75,অগ্রহণীয়তা
usualness,0.125,0.75,usualness
nonconformity,0.0,0.75,সামঞ্জস্যহীনতা
illegitimacy,0.0,0.875,অবৈধতা
illicitness,0.0,0.75,অবৈধতা
elusiveness,0.125,0.75,elusiveness
wrongness,0.125,0.75,wrongness
incorruptibility,0.25,0.75,অক্ষয়তা
lightheadedness,0.0,0.75,lightheadedness
indelicacy,0.125,0.75,অমার্জিত অবস্থা
staleness,0.0,0.75,staleness
hardness,0.0,0.875,কঠোরতা
vulnerability,0.0,0.875,দুর্বলতার
tardiness,0.125,0.75,বিলম্বন
inessentiality,0.125,0.75,inessentiality
defensibility,0.25,0.75,defensibility
snootiness,0.125,0.75,snootiness
cholecystokinin,0.0,0.75,cholecystokinin
feeblemindedness,0.0,0.75,feeblemindedness
insensibility,0.0,0.75,জ্ঞানহীনতা
hydra,0.0,0.75,Hydra
pisser,0.0,0.75,প্রস্রাব
pruritus,0.0,0.75,চুলকান
pill,0.0,0.875,পিল
kink,0.0,0.75,গিরা
casuistry,0.0,0.75,কূটতর্ক
reprobation,0.0,0.75,নিন্দন
unfairness,0.125,0.75,পক্ষপাতদুষ্টতা
stricture,0.0,0.75,বন্ধন
canard,0.0,0.875,হাঁস
excoriation,0.0,0.875,আঁচড়সমালোচনা
accident,0.0,0.75,দুর্ঘটনা
resolution,0.0,0.75,সমাধান
fire,0.0,0.75,আগুন
wistfulness,0.0,0.75,wistfulness
mysophilia,0.0,0.75,mysophilia
creepy-crawlies,0.125,0.75,ছম্ছমে-crawlies
unconcern,0.0,0.75,ঔদাস্য
conscience,0.125,0.75,চেতনা
levity,0.125,0.875,চপলতা
sensibility,0.25,0.75,চেতন
dolefulness,0.0,0.875,dolefulness
heavyheartedness,0.125,0.75,heavyheartedness
self-pity,0.125,0.75,নিজের প্রতি সমবেদনা
dysphoria,0.0,0.75,dysphoria
moodiness,0.125,0.875,moodiness
plonk,0.0,0.875,সবেগে নিক্ষেপ করা
gridlock,0.0,0.75,জট
aphasic,0.0,0.75,aphasic
asthmatic,0.0,0.75,হাঁপানিসংক্রান্ত
choker,0.0,0.75,শ্বাসরোধকারী
hobbledehoy,0.0,0.875,হাবাগবা কিশোর
jerry-builder,0.0,0.75,জেরি-রচয়িতা
motormouth,0.0,1.0,মোটর মুখ
patzer,0.0,0.875,সাঙ্ঘাতিক ভুল
seducer,0.0,0.75,প্রলোভনকারী
third-rater,0.0,0.75,গুণপনাহীন ব্যক্তি
torturer,0.0,0.75,যন্ত্রণা
yenta,0.0,0.75,yenta
accumulation,0.0,0.75,আহরণ
earthquake,0.0,0.875,ভূমিকম্প
insomnia,0.0,0.75,অনিদ্রা
anoxia,0.0,0.75,অক্সিজেনের অভাব
dysphagia,0.125,0.75,dysphagia
dysuria,0.0,0.875,dysuria
dystrophy,0.0,0.75,যথোপযুক্ত পুষ্টির অভাব
invalidism,0.0,0.875,বোরোমেসে অস্বাস্থ্য বা রুগ্নতা
amyloidosis,0.0,0.75,amyloidosis
neurasthenia,0.0,0.75,স্নায়বিক অবসাদ
gingivitis,0.0,0.75,gingivitis
glomerulonephritis,0.0,0.75,glomerulonephritis
hypothyroidism,0.0,0.75,হাইপোথাইরয়েডিজম
diphtheria,0.0,0.75,কণ্ঠনালীর রোগবিশেষ
pneumonia,0.0,0.75,নিউমোনিয়া
abetalipoproteinemia,0.0,0.75,abetalipoproteinemia
hypobetalipoproteinemia,0.0,0.75,hypobetalipoproteinemia
lysinemia,0.0,0.75,lysinemia
thrombasthenia,0.0,0.75,thrombasthenia
tyrosinemia,0.125,0.75,tyrosinemia
angina,0.0,0.75,কণ্ঠনালীপ্রদাহ
blain,0.0,0.875,স্ফোটক
cystitis,0.0,0.75,সিস্টাইতিস
malnutrition,0.0,0.75,অপুষ্টি
kwashiorkor,0.0,0.75,গ্রীষ্মপ্রধান অঞ্চলে খাদ্যে প্রোটিনের অভাবজনিত একধরনের শিশুরোগ
myopathy,0.125,0.75,myopathy
erythema,0.0,0.75,erythema
livedo,0.0,0.75,livedo
granuloma,0.0,0.75,granuloma
arteritis,0.0,0.75,arteritis
blepharitis,0.0,0.875,blepharitis
sprain,0.0,0.75,মচকান
bubo,0.0,0.875,বাগী
throe,0.0,0.875,তীব্র বেদনা
dysmenorrhea,0.0,0.75,প্রামাণ্যচিত্র
odynophagia,0.125,0.75,odynophagia
ulalgia,0.0,0.75,ulalgia
cholangitis,0.0,0.75,cholangitis
cholecystitis,0.0,0.75,cholecystitis
diverticulitis,0.0,0.875,উপস্থলিপ্রদাহ
endarteritis,0.0,0.75,endarteritis
epididymitis,0.0,0.75,epididymitis
gastritis,0.0,0.75,পাকাশয়ের প্রদাহপূর্ণ রোগ
keratitis,0.0,0.75,keratitis
oophoritis,0.0,0.75,oophoritis
orchitis,0.0,0.875,অণ্ডকোষের প্রদাহ
pancreatitis,0.0,0.75,প্যানক্রিয়েটাইটিস
prostatitis,0.0,0.875,prostatitis
spondylitis,0.0,0.75,স্পন্ডিলাইটিস
ulitis,0.0,0.75,ulitis
ureteritis,0.0,0.75,ureteritis
vesiculitis,0.0,0.75,vesiculitis
automysophobia,0.0,0.75,automysophobia
encopresis,0.0,0.75,encopresis
