Term,PosScore,NegScore,Punjabi
direct,0.75,0.0,ਸਿੱਧਾ
adoptable,0.75,0.0,ਗੋਦ ਲੈਣ ਯੋਗ
due,0.75,0.0,ਕਾਰਨ
ravishing,0.75,0.0,ਪਰੇਸ਼ਾਨ
benefic,0.75,0.0,ਲਾਭਕਾਰੀ
unsurpassable,1.0,0.0,ਅਸਫਲ
thorough,0.75,0.0,ਪੂਰੀ
cautious,0.75,0.0,ਸਾਵਧਾਨ
competent,0.75,0.0,ਸਮਰੱਥ
workmanlike,0.75,0.0,ਵਰਕਰ ਵਰਗਾ
competent,0.75,0.0,ਸਮਰੱਥ
full-blown,0.75,0.0,ਪੂਰਾ-ਫੁੱਲਿਆ ਹੋਇਆ
conspicuous,0.75,0.0,ਸਪਸ਼ਟ
differentiable,0.75,0.0,ਵੱਖਰੇ
constant,0.75,0.125,ਨਿਰੰਤਰ
incorrupt,0.75,0.25,ਨਿਰਲੇਪ
corn-fed,0.75,0.0,ਮੱਕੀ-ਖੁਆਇਆ
decorous,0.75,0.0,ਸਜਾਵਟ
definite,0.75,0.0,ਪੱਕਾ
importunate,0.75,0.125,ਆਯਾਤ
plummy,0.75,0.0,Plummy
discerning,0.875,0.0,ਸਮਝਦਾਰੀ
incisive,0.75,0.0,incisive
metal-cutting,0.75,0.0,ਧਾਤ-ਕੱਟਣ
bounden,0.875,0.0,ਸੀਮਾ
disenchanted,0.875,0.0,ਖਿੰਡਾ
exportable,0.75,0.0,ਨਿਰਯਾਤਯੋਗ
enlightened,0.75,0.0,ਗਿਆਨਵਾਨ
estimable,1.0,0.0,ਅਨੁਮਾਨਤ
exchangeable,0.75,0.0,ਵਟਾਂਦਰੇ ਯੋਗ
expendable,0.75,0.0,ਖਰਚ
extricable,0.75,0.0,ਕੱricਣਯੋਗ
fit,0.75,0.0,ਫਿੱਟ
pleasant-smelling,0.75,0.0,ਸੁਹਾਵਣਾ-ਸੁਗੰਧ
goodish,0.75,0.0,ਚੰਗੇ
goody-goody,0.875,0.0,ਅੱਛਾ
white,0.75,0.0,ਚਿੱਟਾ
good-natured,0.75,0.0,ਸੁਭਾਅ ਵਾਲਾ
gainly,0.875,0.0,ਲਾਭਕਾਰੀ
bouncing,0.75,0.0,ਉਛਾਲ
firm,0.875,0.0,ਪੱਕਾ
hearty,0.75,0.0,ਦਿਲ ਵਾਲਾ
well-preserved,0.75,0.0,ਚੰਗੀ ਤਰ੍ਹਾਂ ਸੁਰੱਖਿਅਤ
laureate,0.75,0.0,ਪੁਰਸਕਾਰ
droll,0.75,0.0,ਡਰੋਲ
measurable,0.75,0.0,ਮਾਪਣਯੋਗ
intellectual,0.875,0.0,ਬੌਧਿਕ
inviting,0.75,0.0,ਸੱਦਾ
gladsome,0.75,0.0,ਪ੍ਰਸੰਨ
singable,0.75,0.0,ਗਾਉਣ ਯੋਗ
moralistic,0.75,0.125,ਨੈਤਿਕਵਾਦੀ
incorrupt,0.75,0.25,ਨਿਰਲੇਪ
licit,0.75,0.0,ਬੋਲੀ
incumbent,0.875,0.0,ਮੌਜੂਦਾ
unimpassioned,0.75,0.0,ਬੇ-ਰਹਿਮ
finished,0.75,0.0,ਖਤਮ
microscopic,0.75,0.0,ਸੂਖਮ
halal,0.75,0.0,ਕਾਨੂੰਨੀ
kosher,0.75,0.0,ਕੋਸ਼ਰ
