Term,PosScore,NegScore,Urdu
rare,0.0,0.875,نایاب
avirulent,0.0,0.875,دلچسپ
nonadhesive,0.0,0.75,nonadhesive
ungummed,0.0,0.75,وہ حاملہ ہے
acrophobic,0.0,0.75,اکروفوبیک
agoraphobic,0.0,0.75,agoraphobic
algophobic,0.0,0.875,الگوفوبک
claustrophobic,0.0,0.75,کلاسٹروفوبک
mysophobic,0.0,0.75,mysophobic
xenophobic,0.0,0.75,زینوفوبک
unagitated,0.0,0.75,بے ہنگم
malapropos,0.25,0.75,malapropos
aphasic,0.0,0.75,بے چین
thunderous,0.125,0.875,گرجدار
unconscious,0.0,0.75,بے ہوش
unstratified,0.0,0.75,غیر منظم
fugly,0.0,0.75,بدمعاش
unbanded,0.0,0.75,غیر پابند
maleficent,0.0,0.75,مؤثر
venomed,0.125,0.75,زہر آلود
vixenish,0.0,0.875,vixenish
uncompartmented,0.0,0.75,غیر تقسیم
slate-black,0.0,0.75,سلیٹ سیاہ
augean,0.222,0.778,ایجیئن
dirty-faced,0.0,0.75,گندا چہرہ
smudgy,0.0,0.75,گندگی
unswept,0.0,0.75,بدلا ہوا
unwashed,0.0,0.75,دھلائی
uncousinly,0.0,0.75,غیر معمولی طور پر
fogbound,0.0,0.75,دھند باؤنڈ
unpublishable,0.25,0.75,ناقابل اشاعت
comfortless,0.0,0.875,بے سکون
uncommercial,0.0,0.75,غیر معمولی
unworkmanlike,0.25,0.75,غیر منظم
noncompetitive,0.0,0.75,غیر مسابقتی
uncommitted,0.0,0.75,غیر منظم
unconquerable,0.125,0.75,ناقابل فتح
ravaging,0.0,0.75,غارت گری
unchallengeable,0.0,0.75,غیر متزلزل
unargumentative,0.0,0.75,غیر منحصر
noncontentious,0.0,0.75,غیر متنازعہ
inconvenient,0.125,0.75,تکلیف
unconventional,0.0,0.75,غیر روایتی
conformist,0.0,0.75,موافق
unpersuasive,0.0,0.75,بے اثر
raw,0.0,0.75,کچا
untoasted,0.0,0.75,ٹوسٹڈ
putrid,0.3,0.7,پٹریڈ
antiphlogistic,0.0,0.75,antiphlogistic
wrongheaded,0.25,0.75,غلط سر
uncorrected,0.0,0.75,غیر منظم
unremedied,0.0,0.75,بے علاج
constipated,0.0,0.75,قبض
overcredulous,0.0,0.75,بہت زیادہ
censorious,0.0,0.875,سنسر
uncritical,0.0,0.75,غیرضروری
noncurrent,0.0,0.75,غیر موجودہ
knocked-out,0.0,0.875,ناک آؤٹ
storm-beaten,0.0,0.75,طوفان سے پیٹا
undatable,0.0,0.75,ناقابل تلافی
undeclared,0.0,0.75,غیر اعلانیہ
indefeasible,0.0,0.75,غیر معقول
nonresistant,0.0,0.75,غیر مزاحم
infrangible,0.0,0.75,غیر مرئی
peremptory,0.0,0.75,پیریمپٹری
undemonstrative,0.0,0.75,غیر اہم
undeniable,0.0,0.875,ناقابل تردید
dependent,0.0,0.75,منحصر
undescriptive,0.125,0.75,نامعلوم
undiplomatic,0.0,0.75,غیر منطقی
alienating,0.0,0.75,اجنبی
indirect,0.0,0.75,بالواسطہ
promiscuous,0.0,0.75,وعدہ انگیز
unselective,0.125,0.75,غیر منتخب
indistinct,0.25,0.75,indistinct
indiscrete,0.0,0.75,لاتعلق
untheatrical,0.0,0.75,غیر پڑھائی
uneducated,0.25,0.75,ان پڑھ
sisyphean,0.0,0.75,سسفین
unemployable,0.0,0.75,بے روزگاری
unburdened,0.0,0.75,بوجھل
unexportable,0.25,0.75,غیر منقولہ
remittent,0.125,0.75,اتفاقی طور پر
nostalgic,0.0,0.75,پرانی
homesick,0.0,0.75,ہومسک
unquestionable,0.0,0.75,بلاشبہ
patchy,0.0,0.75,پیچیدہ
unparallel,0.0,0.875,بے مثال
unexchangeable,0.25,0.75,بدلاؤ
nonextant,0.0,0.75,کوئی بات نہیں
unexpendable,0.25,0.75,ناقابل اخراج
fingerless,0.0,0.75,بغیر انگلی کے
inextinguishable,0.0,0.875,ناقابل فہم
unfastidious,0.0,0.75,بے بنیاد
blubbery,0.125,0.75,غلاظت
infelicitous,0.0,0.75,infilleitous
unhewn,0.0,0.75,غیرجانبدار
unsuitable,0.0,0.75,نا مناسب
adventive,0.0,0.75,ایڈوانٹو
abject,0.0,1.0,خلاصہ
niffy,0.0,0.75,niffy
putrid-smelling,0.3,0.7,پٹریڈ مہک
unfree,0.0,0.75,غیر منحصر
addled,0.0,0.75,addled
day-old,0.0,0.875,دن پرانا
unfruitful,0.0,0.75,نتیجہ خیز
sperm-filled,0.0,0.75,منی سے بھرا ہوا
nonfunctional,0.0,0.75,غیر فعل
nonproprietary,0.0,0.75,غیر سرکاری
base,0.0,0.875,بنیاد
pseudo,0.0,0.75,چھدم
synthetic,0.125,0.875,مصنوعی
