Term,PosScore,NegScore,Marathi
direct,0.75,0.0,थेट
adoptable,0.75,0.0,दत्तक
due,0.75,0.0,देय
ravishing,0.75,0.0,लहरी
benefic,0.75,0.0,फायदेशीर
unsurpassable,1.0,0.0,असुरक्षित
thorough,0.75,0.0,कसून
cautious,0.75,0.0,सावध
competent,0.75,0.0,सक्षम
workmanlike,0.75,0.0,कामगार सारखे
competent,0.75,0.0,सक्षम
full-blown,0.75,0.0,पूर्ण विकसित
conspicuous,0.75,0.0,सुस्पष्ट
differentiable,0.75,0.0,विभेदनीय
constant,0.75,0.125,स्थिर
incorrupt,0.75,0.25,व्यत्यय आणणे
corn-fed,0.75,0.0,कॉर्न-फेड
decorous,0.75,0.0,सजावटीच्या
definite,0.75,0.0,निश्चित
importunate,0.75,0.125,आयात करणे
plummy,0.75,0.0,उबदार
discerning,0.875,0.0,विवेकी
incisive,0.75,0.0,incisive
metal-cutting,0.75,0.0,धातू कापून
bounden,0.875,0.0,बद्ध
disenchanted,0.875,0.0,निराश
exportable,0.75,0.0,निर्यात करण्यायोग्य
enlightened,0.75,0.0,प्रबुद्ध
estimable,1.0,0.0,अंदाजे
exchangeable,0.75,0.0,विनिमेय
expendable,0.75,0.0,खर्च करण्यायोग्य
extricable,0.75,0.0,बाहेर काढता येण्यासारखा
fit,0.75,0.0,फिट
pleasant-smelling,0.75,0.0,आनंददायी
goodish,0.75,0.0,चांगले
goody-goody,0.875,0.0,गुडी-गुडी
white,0.75,0.0,पांढरा
good-natured,0.75,0.0,सुस्वभावी
gainly,0.875,0.0,फायदेशीर
bouncing,0.75,0.0,उछल
firm,0.875,0.0,टणक
hearty,0.75,0.0,हार्दिक
well-preserved,0.75,0.0,चांगले संरक्षित
laureate,0.75,0.0,विजेते
droll,0.75,0.0,ड्रोल
measurable,0.75,0.0,मोजण्यायोग्य
intellectual,0.875,0.0,बौद्धिक
inviting,0.75,0.0,आमंत्रित करीत आहे
gladsome,0.75,0.0,आनंददायक
singable,0.75,0.0,गाण्यासारखे
moralistic,0.75,0.125,नैतिकतावादी
incorrupt,0.75,0.25,व्यत्यय आणणे
licit,0.75,0.0,बिड
incumbent,0.875,0.0,येणारा
unimpassioned,0.75,0.0,बेबनाव
finished,0.75,0.0,समाप्त
microscopic,0.75,0.0,सूक्ष्मदर्शक
halal,0.75,0.0,कायदेशीर
kosher,0.75,0.0,कोशेर
disarming,0.75,0.125,नि: शस्त्र
white,0.75,0.125,पांढरा
ladylike,0.75,0.0,महिला सारखे
unprintable,0.75,0.25,अप्रसिद्ध
diffident,0.875,0.0,भिन्न
answerable,0.875,0.0,उत्तरदायी
emancipative,0.75,0.125,मुक्ती
danceable,0.75,0.0,नृत्ययोग्य
opposite,0.75,0.125,उलट
antiseptic,0.75,0.25,पूतिनाशक
shapely,0.75,0.0,सुडौल
well-proportioned,0.75,0.0,प्रमाणित
sound,0.75,0.0,आवाज
straightarrow,0.875,0.125,सरळ
upper,0.75,0.0,वरील
banner,0.875,0.0,बॅनर
gilt-edged,0.75,0.0,गिल्ट-एज
premium,0.75,0.0,प्रीमियम
shining,0.75,0.0,प्रकाशमय
spiffing,0.875,0.0,स्पिफिंग
choice,0.75,0.125,निवड
serviceable,0.75,0.0,सेवायोग्य
sacred,0.75,0.0,पवित्र
constitutional,0.75,0.0,घटनात्मक
deliverable,0.75,0.0,सुलभ
ducal,0.75,0.0,डुकल
masterstroke,0.75,0.0,मास्टरस्ट्रोक
pleasantry,0.75,0.0,आनंददायी
indignity,0.75,0.0,राग
props,0.875,0.0,प्रॉप्स
titillation,0.75,0.0,टायटिलेशन
beatification,0.75,0.0,बीटिकेशन
rambouillet,0.75,0.0,रॅम्बॉयलेट
character,0.875,0.0,वर्ण
drama,0.75,0.0,नाटक
chirpiness,0.75,0.0,उत्साह
vivacity,0.75,0.25,चेतना
mettlesomeness,0.75,0.0,चातुर्य
bluffness,0.875,0.0,बोलणे
picturesqueness,0.875,0.0,सुर्य
pleasingness,0.75,0.0,सुख
attractiveness,0.75,0.0,आकर्षण
innateness,0.75,0.25,जन्मजातपणा
totality,0.75,0.0,संपूर्णता
looseness,0.75,0.25,सैलपणा
wholesomeness,0.875,0.0,निरोगीपणा
healthfulness,0.875,0.0,निरोगीपणा
trueness,0.75,0.0,सत्यता
tastefulness,0.875,0.0,चव
urbanity,0.875,0.0,शहरीपणा
conscientiousness,0.75,0.0,प्रामाणिकपणा
safeness,0.75,0.25,सुरक्षितता
scrupulousness,0.75,0.0,मूर्खपणा
integrity,0.875,0.125,अखंडता
probity,0.75,0.0,संभाव्यता
artfulness,0.75,0.0,कलात्मकता
dedication,0.875,0.0,समर्पण
urbanity,0.875,0.0,शहरीपणा
crispness,0.875,0.0,कुरकुरीतपणा
extremeness,0.75,0.25,तीव्रता
reasonableness,0.75,0.0,वाजवीपणा
affirmativeness,0.75,0.0,होकारार्थीपणा
importance,0.75,0.125,महत्त्व
account,0.875,0.125,खाते
meaningfulness,0.75,0.125,अर्थपूर्णपणा
shrillness,0.75,0.25,आळशीपणा
eye,0.75,0.0,डोळा
logic,0.75,0.0,तर्कशास्त्र
judiciousness,0.875,0.0,न्याय्यता
ear,0.75,0.0,कान
balletomania,0.75,0.0,बॅलेटोमेनिया
mastering,0.75,0.0,मास्टरिंग
principle,0.75,0.0,तत्व
hedonism,0.75,0.0,हेडॉनवाद
courtesy,0.75,0.0,शिष्टाचार
topper,0.75,0.0,टॉपर
divination,0.875,0.0,भविष्यवाणी
moralism,0.75,0.125,नैतिकता
bonheur,0.875,0.0,आनंद
beneficence,0.75,0.0,फायदा
criollo,0.75,0.0,क्रेओल
amoralist,0.75,0.0,अमोरालिस्ट
brick,0.75,0.0,वीट
first-rater,1.0,0.0,प्रथम रेटर
out-and-outer,0.75,0.0,बाहेर आणि बाहेरील
pleaser,0.75,0.0,कृपया
possible,0.75,0.0,शक्य
serendipity,0.75,0.125,serendipity
antithesis,0.75,0.0,विरोधी
contrary,0.75,0.0,उलट
algidity,0.75,0.25,अल्गिडिटी
pathology,0.75,0.125,पॅथॉलॉजी
character,0.875,0.0,वर्ण
fettle,0.75,0.0,फेट
time,0.75,0.0,वेळ
simply,0.75,0.0,फक्त
downright,0.75,0.0,सरळ
recuperate,0.75,0.0,बरे होणे
redound,0.75,0.0,गोलाकार
enervate,0.75,0.0,उत्तेजित करणे
delouse,0.75,0.0,डेलॉउज
think,0.75,0.0,विचार करा
receive,0.75,0.0,प्राप्त
consider,0.75,0.0,विचार करा
give,0.75,0.125,द्या
filigree,0.875,0.0,फिलिग्री
stultify,0.75,0.125,बेडौल
see,0.75,0.0,पहा
vest,0.875,0.0,बनियान
agree,0.875,0.0,सहमत
suit,0.875,0.0,खटला
belong,0.75,0.0,संबंधित
make,0.875,0.0,बनवा
sensation,0.9,0.0,खळबळ
thriving,0.9,0.0,भरभराट
marvels,0.9,0.0,चमत्कार
vibrant,0.9,0.0,दोलायमान
fragrant,0.9,0.0,सुवासिक
enthusiast,0.9,0.0,उत्साही
successfully,0.9,0.0,यशस्वीरित्या
gifted,0.9,0.0,भेट दिली
unequivocal,0.9,0.0,अस्पष्ट
readily,0.9,0.0,सहजगत्या
solicitously,0.9,0.0,एकाकीपणाने
enchantingly,0.9,0.0,जादूपूर्वक
gold,0.9,0.0,सोने
comforting,0.9,0.0,सांत्वनदायक
portable,0.9,0.0,पोर्टेबल
sensations,0.9,0.0,संवेदना
truthful,0.9,0.0,सत्यवादी
notably,0.9,0.0,उल्लेखनीय
bonny,0.9,0.0,धान्य
adulate,0.9,0.0,जुळवून घेणे
jolly,0.9,0.0,अतिशय
supurb,0.9,0.0,supurb
aspiration,0.9,0.0,आकांक्षा
venerate,0.9,0.0,आदर करणे
liking,0.9,0.0,आवडत
sweeping,0.9,0.0,भरमसाट
flexible,0.9,0.0,लवचिक
liberty,0.9,0.0,स्वातंत्र्य
refresh,0.9,0.0,रीफ्रेश
vivacious,0.9,0.0,जिवंत
gem,0.9,0.0,रत्न
impress,0.9,0.0,प्रभावित करा
trumpet,0.9,0.0,रणशिंग
entrust,0.9,0.0,सोपविणे
catchy,0.9,0.0,मोहक
talents,0.9,0.0,प्रतिभा
retractable,0.9,0.0,मागे घेण्यायोग्य
passionate,0.9,0.0,उत्कट
triumph,0.9,0.0,विजय
afordable,0.9,0.0,अफोर्डेबल
congratulations,0.9,0.0,अभिनंदन
bargain,0.9,0.0,करार
glad,0.9,0.0,आनंदी
rejuvenated,0.9,0.0,कायाकल्प केला
top,0.9,0.0,वर
gladden,0.9,0.0,आनंदी
energize,0.9,0.0,उत्साही करणे
humane,0.9,0.0,मानवी
swank,0.9,0.0,झोपणे
insightfully,0.9,0.0,अंतर्दृष्टीने
courageousness,0.9,0.0,धैर्य
fancinating,0.9,0.0,बनावट
maturity,0.9,0.0,परिपक्वता
energy-efficient,0.9,0.0,ऊर्जा कार्यक्षम
calm,0.9,0.0,शांत
desirable,0.9,0.0,इष्ट
poeticize,0.9,0.0,काव्यात्मक करणे
easiest,0.9,0.0,सर्वात सोपा
low-price,0.9,0.0,कमी किंमत
striving,0.9,0.0,प्रयत्नशील
advantage,0.9,0.0,फायदा
cheerful,0.9,0.0,आनंदी
ample,0.9,0.0,पुष्कळ
steady,0.9,0.0,स्थिर
effortless,0.9,0.0,सहज
innovation,0.9,0.0,नाविन्य
fine-looking,0.9,0.0,सुरेख
wonders,0.9,0.0,चमत्कार
cashback,0.9,0.0,पैसे परत
quicker,0.9,0.0,जलद
gleeful,0.9,0.0,आनंदी
expertly,0.9,0.0,कुशलतेने
divine,0.9,0.0,दैवी
miraculously,0.9,0.0,चमत्कारीकरित्या
daring,0.9,0.0,धिटाई
pepped,0.9,0.0,peped
cooperatively,0.9,0.0,सहकार्याने
gainful,0.9,0.0,फायदेशीर
rewarding,0.9,0.0,फायद्याचे
magnificently,0.9,0.0,भव्यपणे
captivate,0.9,0.0,मोहित करा
exceeding,0.9,0.0,ओलांडत
ready,0.9,0.0,तयार
invaluablely,0.9,0.0,अमूल्य
modesty,0.9,0.0,नम्रता
innovative,0.9,0.0,नाविन्यपूर्ण
rapturous,0.9,0.0,आनंदी
soulful,0.9,0.0,आत्मावान
hard-working,0.9,0.0,कठोर परिश्रम करणारा
understandable,0.9,0.0,समजण्यासारखा
resourcefulness,0.9,0.0,साधनसंपत्ती
illumine,0.9,0.0,प्रकाशित
trusty,0.9,0.0,विश्वासू
patriot,0.9,0.0,देशभक्त
amply,0.9,0.0,पर्याप्तपणे
appreciate,0.9,0.0,कौतुक
large-capacity,0.9,0.0,मोठ्या क्षमता
ardent,0.9,0.0,उत्साही
inspiration,0.9,0.0,प्रेरणा
topnotch,0.9,0.0,टॉप नॉच
fluent,0.9,0.0,अस्खलित
well-balanced,0.9,0.0,संतुलित
clear-cut,0.9,0.0,क्लिअर-कट
lovely,0.9,0.0,सुंदर
frugal,0.9,0.0,काटकसरी
affirm,0.9,0.0,कबूल करा
idealize,0.9,0.0,आदर्श बनवा
great,0.9,0.0,छान
profoundly,0.9,0.0,खोलवर
gumption,0.9,0.0,गमप्शन
elation,0.9,0.0,आनंद
stability,0.9,0.0,स्थिरता
spellbound,0.9,0.0,शब्दलेखन
obsessions,0.9,0.0,व्यापणे
applaud,0.9,0.0,टाळ्या
willing,0.9,0.0,इच्छुक
well-bred,0.9,0.0,सुसंस्कृत
cleanly,0.9,0.0,स्वच्छपणे
graciousness,0.9,0.0,कृपा
constructive,0.9,0.0,विधायक
pampers,0.9,0.0,लाड करणे
hotcakes,0.9,0.0,हॉटकेक्स
realistic,0.9,0.0,वास्तववादी
nicely,0.9,0.0,छान
unbiased,0.9,0.0,निःपक्षपाती
virtuously,0.9,0.0,सद्गुणपणे
free,0.9,0.0,फुकट
fairly,0.9,0.0,ब fair्यापैकी
cushy,0.9,0.0,चवदार
grand,0.9,0.0,उंच
admirer,0.9,0.0,प्रशंसा
peaceable,0.9,0.0,शांततापूर्ण
laud,0.9,0.0,टेबल
renewed,0.9,0.0,नूतनीकरण
inspire,0.9,0.0,प्रेरणा
buoyant,0.9,0.0,आनंदी
humility,0.9,0.0,नम्रता
stabilize,0.9,0.0,स्थिर करा
hopeful,0.9,0.0,आशावादी
staunchness,0.9,0.0,कडकपणा
tenderly,0.9,0.0,कोमलपणे
amiabily,0.9,0.0,अमीबॅली
liberation,0.9,0.0,मुक्ती
loveliness,0.9,0.0,प्रेमळपणा
stunned,0.9,0.0,स्तब्ध
seamless,0.9,0.0,अखंड
supremely,0.9,0.0,सर्वोच्च
capable,0.9,0.0,सक्षम
firmer,0.9,0.0,अधिक मजबूत
overture,0.9,0.0,ओव्हरटेव्हर
chivalrous,0.9,0.0,चंचल
ingeniously,0.9,0.0,कल्पकतेने
freedom,0.9,0.0,स्वातंत्र्य
well-positioned,0.9,0.0,सुस्थितीत
balanced,0.9,0.0,संतुलित
refunded,0.9,0.0,परत केले
triumphal,0.9,0.0,विजयी
angelic,0.9,0.0,देवदूत
matchless,0.9,0.0,अतुलनीय
tenacious,0.9,0.0,कठोर
successful,0.9,0.0,यशस्वी
powerfully,0.9,0.0,सामर्थ्याने
uplifting,0.9,0.0,उत्थान
dynamic,0.9,0.0,डायनॅमिक
thankful,0.9,0.0,कृतज्ञ
cuteness,0.9,0.0,cuteness
champ,0.9,0.0,फील्ड
intriguingly,0.9,0.0,कल्पकतेने
sufficiently,0.9,0.0,पुरेसे
pepping,0.9,0.0,पीपिंग
god-send,0.9,0.0,देव-पाठवा
mature,0.9,0.0,प्रौढ
top-quality,0.9,0.0,उच्च-गुणवत्ता
efficient,0.9,0.0,कार्यक्षम
easy-to-use,0.9,0.0,वापरण्यास सोप
peppy,0.9,0.0,पिल्लू
idol,0.9,0.0,मूर्ती
elegantly,0.9,0.0,सुरेखपणे
glorious,0.9,0.0,तेजस्वी
insightful,0.9,0.0,अंतर्दृष्टी
economical,0.9,0.0,किफायतशीर
reassurance,0.9,0.0,आश्वासन
premier,0.9,0.0,पहिला
redeem,0.9,0.0,पूर्तता करा
pain-free,0.9,0.0,वेदनामुक्त
supporter,0.9,0.0,समर्थक
rejoicingly,0.9,0.0,आनंदाने
dawn,0.9,0.0,पहाट
gutsy,0.9,0.0,धाडसी
terrifically,0.9,0.0,भयानक
imaculate,0.9,0.0,कल्पना करा
appreciated,0.9,0.0,कौतुक
strongest,0.9,0.0,सर्वात मजबूत
accomplish,0.9,0.0,साध्य
stimulate,0.9,0.0,उत्तेजित करणे
distinguished,0.9,0.0,प्रतिष्ठित
joy,0.9,0.0,आनंद
enjoyed,0.9,0.0,आनंद घेतला
elate,0.9,0.0,आनंद
benefit,0.9,0.0,फायदा
openness,0.9,0.0,मोकळेपणा
achievement,0.9,0.0,यश
honorable,0.9,0.0,आदरणीय
salute,0.9,0.0,आरोग्य
genuine,0.9,0.0,खरा
unbound,0.9,0.0,अनबाउंड
