Term,PosScore,NegScore,Tamil
rare,0.0,0.875,அரிதானது
avirulent,0.0,0.875,avirulent
nonadhesive,0.0,0.75,nonadhesive
ungummed,0.0,0.75,அவள் கர்ப்பமாக இருக்கிறாள்
acrophobic,0.0,0.75,அக்ரோபோபிக்
agoraphobic,0.0,0.75,அகோராபோபிக்
algophobic,0.0,0.875,அல்கோபோபிக்
claustrophobic,0.0,0.75,கிளாஸ்ட்ரோபோபிக்
mysophobic,0.0,0.75,mysophobic
xenophobic,0.0,0.75,xenophobic
unagitated,0.0,0.75,unagited
malapropos,0.25,0.75,malapropos
aphasic,0.0,0.75,அபாசிக்
thunderous,0.125,0.875,இடி
unconscious,0.0,0.75,மயக்கத்தில்
unstratified,0.0,0.75,உறுதியற்ற
fugly,0.0,0.75,fugly
unbanded,0.0,0.75,கட்டுப்படுத்தப்படாத
maleficent,0.0,0.75,தீங்கு விளைவிக்கும்
venomed,0.125,0.75,விஷம்
vixenish,0.0,0.875,vixenish
uncompartmented,0.0,0.75,பிரிக்கப்படாத
slate-black,0.0,0.75,ஸ்லேட்-கருப்பு
augean,0.222,0.778,augean
dirty-faced,0.0,0.75,அழுக்கு முகம்
smudgy,0.0,0.75,மங்கலான
unswept,0.0,0.75,unswept
unwashed,0.0,0.75,கழுவப்படாதது
uncousinly,0.0,0.75,uncousinly
fogbound,0.0,0.75,மூடுபனி
unpublishable,0.25,0.75,வெளியிடப்படாதது
comfortless,0.0,0.875,ஆறுதல்
uncommercial,0.0,0.75,வர்த்தகரீதியான
unworkmanlike,0.25,0.75,வேலை செய்யாதவர்
noncompetitive,0.0,0.75,போட்டி அல்லாத
uncommitted,0.0,0.75,அனுமதிக்கப்படவில்லை
unconquerable,0.125,0.75,வெல்லமுடியாதது
ravaging,0.0,0.75,அழிவு
unchallengeable,0.0,0.75,சவால் செய்ய முடியாதது
unargumentative,0.0,0.75,unargumentative
noncontentious,0.0,0.75,கட்டுப்பாடற்றது
inconvenient,0.125,0.75,சிரமமாக
unconventional,0.0,0.75,வழக்கத்திற்கு மாறானது
conformist,0.0,0.75,இணக்கவாதி
unpersuasive,0.0,0.75,வெளிப்படையான
raw,0.0,0.75,பச்சையாக
untoasted,0.0,0.75,வறுத்தெடுக்கப்பட்டது
putrid,0.3,0.7,putrid
antiphlogistic,0.0,0.75,ஆண்டிஃபாலஜிஸ்டிக்
wrongheaded,0.25,0.75,தவறான தலை
uncorrected,0.0,0.75,சரி செய்யப்படவில்லை
unremedied,0.0,0.75,கவனிக்கப்படாதது
constipated,0.0,0.75,மலச்சிக்கல்
overcredulous,0.0,0.75,அதிகப்படியான
censorious,0.0,0.875,தணிக்கை
uncritical,0.0,0.75,விமர்சனமற்றது
noncurrent,0.0,0.75,noncurrent
knocked-out,0.0,0.875,தோற்றால் உடனே வெளியேரும் முறை
storm-beaten,0.0,0.75,புயல் தாக்கியது
undatable,0.0,0.75,விவரிக்க முடியாதது
undeclared,0.0,0.75,அறிவிக்கப்படாத
indefeasible,0.0,0.75,விவரிக்க முடியாதது
nonresistant,0.0,0.75,nonresistant
infrangible,0.0,0.75,ஊடுருவ முடியாதது
peremptory,0.0,0.75,peremptory
undemonstrative,0.0,0.75,ஆர்ப்பாட்டம்
undeniable,0.0,0.875,மறுக்க முடியாதது
dependent,0.0,0.75,சார்ந்தது
undescriptive,0.125,0.75,விவரிக்க முடியாத
undiplomatic,0.0,0.75,undiplomatic
alienating,0.0,0.75,அந்நியப்படுத்துதல்
indirect,0.0,0.75,மறைமுகமாக
promiscuous,0.0,0.75,வருங்கால
unselective,0.125,0.75,தேர்வு செய்யப்படாத
indistinct,0.25,0.75,தெளிவற்ற
indiscrete,0.0,0.75,அலட்சியமாக
untheatrical,0.0,0.75,வெப்பமற்றது
uneducated,0.25,0.75,படிக்காத
sisyphean,0.0,0.75,sisyphean
unemployable,0.0,0.75,வேலையின்மை
unburdened,0.0,0.75,சுமையற்றது
unexportable,0.25,0.75,ஏற்றுமதி செய்ய முடியாதது
remittent,0.125,0.75,அனுப்பும்
