Term,PosScore,NegScore,Punjabi
rare,0.0,0.875,ਦੁਰਲੱਭ
avirulent,0.0,0.875,ਉਤਸੁਕ
nonadhesive,0.0,0.75,ਗੈਰ-ਅਧਿਕਾਰਤ
ungummed,0.0,0.75,ਉਹ ਗਰਭਵਤੀ ਹੈ
acrophobic,0.0,0.75,ਐਕਰੋਫੋਬਿਕ
agoraphobic,0.0,0.75,ਐਗਰੋਫੋਬਿਕ
algophobic,0.0,0.875,ਐਲਗੋਫੋਬਿਕ
claustrophobic,0.0,0.75,ਕਲਾਸਟਰੋਫੋਬਿਕ
mysophobic,0.0,0.75,ਮਾਈਸੋਫੋਬਿਕ
xenophobic,0.0,0.75,ਜ਼ੈਨੋਫੋਬਿਕ
unagitated,0.0,0.75,ਬੇਖ਼ਬਰ
malapropos,0.25,0.75,ਮਾਲਾਪ੍ਰੋਪੋਸ
aphasic,0.0,0.75,ਭਿਆਨਕ
thunderous,0.125,0.875,ਗਰਜਦਾ
unconscious,0.0,0.75,ਬੇਹੋਸ਼
unstratified,0.0,0.75,ਅਸੰਬੰਧਿਤ
fugly,0.0,0.75,fugly
unbanded,0.0,0.75,ਅਨਬੰਦਡ
maleficent,0.0,0.75,ਖਤਰਨਾਕ
venomed,0.125,0.75,ਜ਼ਹਿਰੀਲੇ
vixenish,0.0,0.875,ਵਿਕਸੇਨੀਸ਼
uncompartmented,0.0,0.75,ਬੇਕਾਬੂ
slate-black,0.0,0.75,ਸਲੇਟ-ਕਾਲੇ
augean,0.222,0.778,ਆਜੀਅਨ
dirty-faced,0.0,0.75,ਗੰਦਾ-ਚਿਹਰਾ
smudgy,0.0,0.75,ਮੁਸਕਰਾਹਟ
unswept,0.0,0.75,ਰੋਕਿਆ
unwashed,0.0,0.75,ਧੋਤੇ
uncousinly,0.0,0.75,ਅਣਜਾਣ
fogbound,0.0,0.75,ਧੁੰਦਲਾ
unpublishable,0.25,0.75,ਪ੍ਰਕਾਸ਼ਤ ਨਹੀਂ
comfortless,0.0,0.875,ਆਰਾਮਦਾਇਕ
uncommercial,0.0,0.75,ਗੈਰ-ਵਪਾਰਕ
unworkmanlike,0.25,0.75,ਬੇਵਕੂਫਾ
noncompetitive,0.0,0.75,ਗੈਰ-ਪ੍ਰਤੀਯੋਗੀ
uncommitted,0.0,0.75,ਬੇਰੋਕ
unconquerable,0.125,0.75,ਬੇਕਾਬੂ
ravaging,0.0,0.75,ਕੁੱਟਮਾਰ
unchallengeable,0.0,0.75,ਅਣਚਾਹੇ
unargumentative,0.0,0.75,ਗ਼ੈਰ-ਜ਼ਿੰਮੇਵਾਰ
noncontentious,0.0,0.75,ਗੈਰ-ਵਿਰੋਧੀ
inconvenient,0.125,0.75,ਅਸੁਵਿਧਾਜਨਕ
unconventional,0.0,0.75,ਗੈਰ ਰਵਾਇਤੀ
conformist,0.0,0.75,ਅਨੁਕੂਲ
unpersuasive,0.0,0.75,ਬੇਪਰਵਾਹ
raw,0.0,0.75,ਕੱਚਾ
untoasted,0.0,0.75,ਟੋਸਟਡ
putrid,0.3,0.7,ਪੁਟ੍ਰਿਡ
antiphlogistic,0.0,0.75,ਰੋਗਾਣੂਨਾਸ਼ਕ
wrongheaded,0.25,0.75,ਗ਼ਲਤ
uncorrected,0.0,0.75,ਅਸੁਰੱਖਿਅਤ
unremedied,0.0,0.75,ਬਿਨ੍ਹਾਂ ਰਹਿਤ
constipated,0.0,0.75,ਕਬਜ਼
overcredulous,0.0,0.75,ਬਹੁਤ ਜ਼ਿਆਦਾ
censorious,0.0,0.875,ਸੈਂਸਰਿਯਸ
uncritical,0.0,0.75,ਗੈਰ ਕਾਨੂੰਨੀ
noncurrent,0.0,0.75,ਗੈਰ-ਮੌਜੂਦਾ
knocked-out,0.0,0.875,ਖੜਕਾਇਆ
storm-beaten,0.0,0.75,ਤੂਫਾਨ-ਕੁੱਟਿਆ
undatable,0.0,0.75,ਅਣਚਾਹੇ
undeclared,0.0,0.75,ਘੋਸ਼ਿਤ
indefeasible,0.0,0.75,ਅਵਿਸ਼ਵਾਸੀ
nonresistant,0.0,0.75,ਗੈਰ-ਰੋਧਕ
infrangible,0.0,0.75,ਅਪ੍ਰਤੱਖ
peremptory,0.0,0.75,ਪੀਰੀਮੈਟਰੀ
undemonstrative,0.0,0.75,ਬੇਮਿਸਾਲ
undeniable,0.0,0.875,ਅਸਵੀਕਾਰਯੋਗ
dependent,0.0,0.75,ਨਿਰਭਰ
undescriptive,0.125,0.75,ਵਰਣਨਯੋਗ
undiplomatic,0.0,0.75,ਅਣਜਾਣ
alienating,0.0,0.75,ਦੂਰ
indirect,0.0,0.75,ਅਸਿੱਧੇ
promiscuous,0.0,0.75,ਵਾਅਦਾ ਕਰਦਾ
unselective,0.125,0.75,ਨਾ ਚੁਣੇ
indistinct,0.25,0.75,indistinct
indiscrete,0.0,0.75,ਉਦਾਸੀ ਨਾਲ
untheatrical,0.0,0.75,ਬਿਮਾਰੀ
uneducated,0.25,0.75,ਅਨਪੜ੍ਹ
sisyphean,0.0,0.75,ਸੀਸਫਿਅਨ
unemployable,0.0,0.75,ਬੇਰੁਜ਼ਗਾਰ
unburdened,0.0,0.75,ਨਿਰਬਲ
unexportable,0.25,0.75,ਬੇਹਿਸਾਬ
remittent,0.125,0.75,ਤਿਆਗ
nostalgic,0.0,0.75,ਨਾਜ਼ੁਕ
homesick,0.0,0.75,ਘਰੇਲੂ
unquestionable,0.0,0.75,ਬਿਨਾਂ ਸ਼ੱਕ
