Term,PosScore,NegScore,Telugu
direct,0.75,0.0,ప్రత్యక్ష
adoptable,0.75,0.0,adoptable
due,0.75,0.0,కారణంగా
ravishing,0.75,0.0,ravishing
benefic,0.75,0.0,ఉపయోగకరంగా
unsurpassable,1.0,0.0,unsurpassable
thorough,0.75,0.0,కూలంకషంగా
cautious,0.75,0.0,జాగ్రత్తగా
competent,0.75,0.0,సమర్థ
workmanlike,0.75,0.0,workmanlike
competent,0.75,0.0,సమర్థ
full-blown,0.75,0.0,పూర్తిస్థాయి
conspicuous,0.75,0.0,ప్రస్ఫుటమైన
differentiable,0.75,0.0,అవకలజ
constant,0.75,0.125,స్థిరమైన
incorrupt,0.75,0.25,incorrupt
corn-fed,0.75,0.0,మొక్కజొన్న తినిపించిన
decorous,0.75,0.0,decorous
definite,0.75,0.0,ఖచ్చితమైన
importunate,0.75,0.125,importunate
plummy,0.75,0.0,plummy
discerning,0.875,0.0,తెలుసుకునే
incisive,0.75,0.0,మనసును తాకే
metal-cutting,0.75,0.0,మెటల్ కోసే
bounden,0.875,0.0,వత్తిడిచేయబడిన
disenchanted,0.875,0.0,భాదిత
exportable,0.75,0.0,ఎగమతి
enlightened,0.75,0.0,జ్ఞానోదయం
estimable,1.0,0.0,అంచనా వేయడానికి లేదు
exchangeable,0.75,0.0,మార్చుకోవడానికి
expendable,0.75,0.0,expendable
extricable,0.75,0.0,extricable
fit,0.75,0.0,ఆరోగ్యంగా
pleasant-smelling,0.75,0.0,ఆహ్లాదకరమైన వాసనలు కల
goodish,0.75,0.0,goodish
goody-goody,0.875,0.0,గూడీ-గూడీ
white,0.75,0.0,తెలుపు
good-natured,0.75,0.0,మంచి స్వభావం
gainly,0.875,0.0,gainly
bouncing,0.75,0.0,బౌన్సింగ్
firm,0.875,0.0,సంస్థ
hearty,0.75,0.0,హృదయపూర్వక
well-preserved,0.75,0.0,బాగా సంరక్షించబడిన
laureate,0.75,0.0,గ్రహీత
droll,0.75,0.0,వింతైన
measurable,0.75,0.0,కొలమాన
intellectual,0.875,0.0,మేధో
inviting,0.75,0.0,ఆహ్వానించకుండా
gladsome,0.75,0.0,సంతోషమైన
singable,0.75,0.0,singable
moralistic,0.75,0.125,moralistic
incorrupt,0.75,0.25,incorrupt
licit,0.75,0.0,బిడ్
incumbent,0.875,0.0,అధికారంలోలేని
unimpassioned,0.75,0.0,unimpassioned
finished,0.75,0.0,పూర్తి
microscopic,0.75,0.0,మైక్రోస్కోపిక్
halal,0.75,0.0,చట్టబద్ధమైన
