Term,PosScore,NegScore,Gujarati
direct,0.75,0.0,સીધા
adoptable,0.75,0.0,સ્વીકાર્ય
due,0.75,0.0,કારણે
ravishing,0.75,0.0,અસ્પષ્ટ
benefic,0.75,0.0,લાભકારક
unsurpassable,1.0,0.0,અસહ્ય
thorough,0.75,0.0,સંપૂર્ણ
cautious,0.75,0.0,સાવધ
competent,0.75,0.0,સક્ષમ
workmanlike,0.75,0.0,કામદાર
competent,0.75,0.0,સક્ષમ
full-blown,0.75,0.0,સંપૂર્ણ વિકસિત
conspicuous,0.75,0.0,સુસ્પષ્ટ
differentiable,0.75,0.0,તફાવતયોગ્ય
constant,0.75,0.125,સતત
incorrupt,0.75,0.25,અવ્યવસ્થિત
corn-fed,0.75,0.0,મકાઈવાળા
decorous,0.75,0.0,સુશોભન
definite,0.75,0.0,ચોક્કસ
importunate,0.75,0.125,ઇમ્પોન્યુટ
plummy,0.75,0.0,પ્લમ્મી
discerning,0.875,0.0,સમજદાર
incisive,0.75,0.0,કર્કશ
metal-cutting,0.75,0.0,મેટલ કટીંગ
bounden,0.875,0.0,બાઉન્ડ
disenchanted,0.875,0.0,છિન્નભિન્ન
exportable,0.75,0.0,નિકાસયોગ્ય
enlightened,0.75,0.0,પ્રબુદ્ધ
estimable,1.0,0.0,અનુમાનિત
exchangeable,0.75,0.0,વિનિમયક્ષમ
expendable,0.75,0.0,ખર્ચ કરવા યોગ્ય
extricable,0.75,0.0,કાricી શકાય તેવું
fit,0.75,0.0,ફિટ
pleasant-smelling,0.75,0.0,સુખદ ગંધ
goodish,0.75,0.0,goodish
goody-goody,0.875,0.0,ગુડી-ગુડી
white,0.75,0.0,સફેદ
good-natured,0.75,0.0,સ્વભાવનું
gainly,0.875,0.0,લાભદાયક
bouncing,0.75,0.0,ncingછળવું
firm,0.875,0.0,પે firmી
hearty,0.75,0.0,હાર્દિક
well-preserved,0.75,0.0,સારી રીતે સાચવેલ
laureate,0.75,0.0,વિજેતા
droll,0.75,0.0,drol
measurable,0.75,0.0,માપી શકાય તેવું
intellectual,0.875,0.0,બૌદ્ધિક
inviting,0.75,0.0,આમંત્રિત
gladsome,0.75,0.0,આનંદકારક
singable,0.75,0.0,ગાવા યોગ્ય
moralistic,0.75,0.125,નૈતિકવાદી
incorrupt,0.75,0.25,અવ્યવસ્થિત
licit,0.75,0.0,બોલી
incumbent,0.875,0.0,ઉપસ્થિત
unimpassioned,0.75,0.0,બેફામ
finished,0.75,0.0,સમાપ્ત
