word,score
warm,0.99
purify,0.99
astonishing,1.0
enchanting,1.0
charmingly,1.0
celebration,1.0
relent,0.61
majestic,1.0
jollify,0.99
considerate,0.97
empower,1.0
profusion,0.99
boom,0.99
patiently,0.99
decisive,1.0
romantic,1.0
prosperity,0.99
brisk,1.0
heaven,1.0
cleanly,1.0
exhilaratingly,1.0
strive,1.0
blessing,0.99
satisfactorily,1.0
clarity,1.0
timely,1.0
prosperous,0.98
accessible,0.99
gorgeous,1.0
inpresse,0.99
futuristic,0.99
abundance,1.0
victorious,1.0
effusiveness,0.91
convienient,0.99
frolic,1.0
gifted,1.0
jubilant,1.0
apotheosis,0.98
overtook,0.53
pamperedly,1.0
whoooa,0.77
irreproachable,1.0
pride,1.0
pamperedness,1.0
greatness,0.99
divinely,1.0
brighten,1.0
improve,0.99
exhilarating,1.0
flattering,0.99
inventive,1.0
gold,1.0
noiseless,0.99
mercifully,0.99
renown,1.0
maturely,1.0
benevolent,0.99
splendid,0.99
tenacious,1.0
stunned,0.98
dash,0.98
accolade,0.99
enliven,1.0
ideally,1.0
appeal,1.0
lyrical,1.0
capable,0.99
magnificent,1.0
inspiration,1.0
purposeful,1.0
happy,0.98
convenient,0.98
eyecatching,0.94
insightfully,1.0
warmth,1.0
conciliate,0.99
merriness,0.99
soundness,1.0
excitedly,1.0
enjoyably,0.99
beautifully,1.0
refund,0.99
glisten,1.0
accomplish,1.0
problem free,0.95
faith,1.0
elevate,1.0
stainless,1.0
strong,0.99
ebulliently,1.0
warmly,0.99
fortitude,1.0
excels,1.0
educate,1.0
hopeful,1.0
simple,0.92
headway,0.98
goood,1.0
calm,0.98
consistent,1.0
thrillingly,1.0
heroically,1.0
welcome,0.97
fantastic,0.99
diplomatic,1.0
supreme,1.0
regal,1.0
subsidize,0.99
passionately,1.0
spontaneous,1.0
affirm,1.0
honesty,1.0
futurestic,1.0
majesty,0.99
state of the art,1.0
assurance,1.0
brave,0.99
paradise,1.0
sensitive,0.99
plus,1.0
