Term,PosScore,NegScore,Malayalam
rare,0.0,0.875,അപൂർവ്വം
avirulent,0.0,0.875,അവ്യക്തമായ
nonadhesive,0.0,0.75,നോൺ‌ഡെസിവ്
ungummed,0.0,0.75,അവൾ ഗർഭിണിയാണ്
acrophobic,0.0,0.75,അക്രോഫോബിക്
agoraphobic,0.0,0.75,അഗ്രോഫോബിക്
algophobic,0.0,0.875,അൽഗോഫോബിക്
claustrophobic,0.0,0.75,ക്ലോസ്ട്രോഫോബിക്
mysophobic,0.0,0.75,മൈസോഫോബിക്
xenophobic,0.0,0.75,സെനോഫോബിക്
unagitated,0.0,0.75,unagited
malapropos,0.25,0.75,മലപ്രോപോസ്
aphasic,0.0,0.75,അഫാസിക്
thunderous,0.125,0.875,ഇടിമുഴക്കം
unconscious,0.0,0.75,അബോധാവസ്ഥയിൽ
unstratified,0.0,0.75,വ്യക്തമാക്കാത്ത
fugly,0.0,0.75,മങ്ങിയത്
unbanded,0.0,0.75,ബന്ധിപ്പിച്ചിട്ടില്ല
maleficent,0.0,0.75,വികലമായ
venomed,0.125,0.75,വിഷം
vixenish,0.0,0.875,vixenish
uncompartmented,0.0,0.75,വിഭജിച്ചിട്ടില്ല
slate-black,0.0,0.75,സ്ലേറ്റ്-കറുപ്പ്
augean,0.222,0.778,augean
dirty-faced,0.0,0.75,വൃത്തികെട്ട മുഖം
smudgy,0.0,0.75,സ്മഡ്ജി
unswept,0.0,0.75,സ്വീകാര്യമല്ലാത്ത
unwashed,0.0,0.75,കഴുകാത്ത
uncousinly,0.0,0.75,നിരുപാധികം
fogbound,0.0,0.75,മൂടൽമഞ്ഞ്
unpublishable,0.25,0.75,പ്രസിദ്ധീകരിക്കാൻ കഴിയാത്തത്
comfortless,0.0,0.875,സുഖകരമല്ല
uncommercial,0.0,0.75,വാണിജ്യേതര
unworkmanlike,0.25,0.75,അൺ വർക്ക്മാൻ പോലെയാണ്
noncompetitive,0.0,0.75,മത്സരയോഗ്യമല്ല
uncommitted,0.0,0.75,അനുവദനീയമല്ല
unconquerable,0.125,0.75,വിജയിക്കാനാവാത്ത
ravaging,0.0,0.75,നാശം
unchallengeable,0.0,0.75,ചോദ്യം ചെയ്യാനാവാത്ത
unargumentative,0.0,0.75,unargumentative
noncontentious,0.0,0.75,അനിയന്ത്രിതമായ
inconvenient,0.125,0.75,അസ ven കര്യം
unconventional,0.0,0.75,പാരമ്പര്യേതര
conformist,0.0,0.75,അനുരൂപകൻ
unpersuasive,0.0,0.75,വ്യക്തമല്ലാത്ത
raw,0.0,0.75,അസംസ്കൃത
untoasted,0.0,0.75,വറുത്തത്
putrid,0.3,0.7,പുട്രിഡ്
antiphlogistic,0.0,0.75,ആന്റിഫോളജിസ്റ്റിക്
wrongheaded,0.25,0.75,തെറ്റായ തലക്കെട്ട്
uncorrected,0.0,0.75,ശരിയാക്കിയിട്ടില്ല
unremedied,0.0,0.75,ശ്രദ്ധിക്കപ്പെടാത്ത
constipated,0.0,0.75,മലബന്ധം
overcredulous,0.0,0.75,അമിതമായി
censorious,0.0,0.875,സെൻസറിയസ്
uncritical,0.0,0.75,വിമർശനാത്മകമല്ല
noncurrent,0.0,0.75,നോൺകറന്റ്
knocked-out,0.0,0.875,പുറന്തള്ളപ്പെട്ടു
storm-beaten,0.0,0.75,കൊടുങ്കാറ്റ് അടിച്ചു
undatable,0.0,0.75,വിലമതിക്കാനാവാത്ത
undeclared,0.0,0.75,പ്രഖ്യാപിച്ചിട്ടില്ല
indefeasible,0.0,0.75,ഒഴിച്ചുകൂടാനാവാത്ത
nonresistant,0.0,0.75,നോൺ റെസിസ്റ്റന്റ്
infrangible,0.0,0.75,ഇൻഫ്രാഞ്ചബിൾ
peremptory,0.0,0.75,peremptory
undemonstrative,0.0,0.75,പ്രകടിപ്പിക്കാത്തത്
undeniable,0.0,0.875,നിഷേധിക്കാനാവാത്ത
dependent,0.0,0.75,ആശ്രിത
undescriptive,0.125,0.75,വിവരണാത്മകമല്ല
undiplomatic,0.0,0.75,നയതന്ത്രപരമല്ലാത്ത
alienating,0.0,0.75,അന്യവൽക്കരിക്കുന്നു
indirect,0.0,0.75,പരോക്ഷമായി
promiscuous,0.0,0.75,വേശ്യാവൃത്തി
unselective,0.125,0.75,തിരഞ്ഞെടുക്കാത്തവ
indistinct,0.25,0.75,വ്യക്തമല്ലാത്ത
indiscrete,0.0,0.75,നിസ്സംഗതയോടെ
untheatrical,0.0,0.75,അസുഖകരമായ
uneducated,0.25,0.75,വിദ്യാഭ്യാസമില്ലാത്ത
sisyphean,0.0,0.75,സിസിഫിയൻ
unemployable,0.0,0.75,തൊഴിലില്ലാത്ത
unburdened,0.0,0.75,ഭാരം ചുമക്കാത്തവ
unexportable,0.25,0.75,കയറ്റുമതി ചെയ്യാനാവില്ല
remittent,0.125,0.75,പണമയയ്‌ക്കുന്നു
nostalgic,0.0,0.75,നൊസ്റ്റാൾജിക്
homesick,0.0,0.75,ഹോംസിക്ക്
unquestionable,0.0,0.75,ചോദ്യം ചെയ്യാനാവാത്ത
patchy,0.0,0.75,പാച്ചി
unparallel,0.0,0.875,സമാനതകളില്ലാത്ത
unexchangeable,0.25,0.75,മാറ്റാനാവില്ല
nonextant,0.0,0.75,ഒന്നുമില്ല
unexpendable,0.25,0.75,ചെലവാക്കാനാവാത്ത
fingerless,0.0,0.75,വിരലില്ലാത്ത
inextinguishable,0.0,0.875,വേർതിരിക്കാനാവാത്ത
