Term,PosScore,NegScore,hindi
direct,0.75,0.0,प्रत्यक्ष
adoptable,0.75,0.0,ग्रहणीय
due,0.75,0.0,देय
ravishing,0.75,0.0,सुंदर
benefic,0.75,0.0,फायदेमंद
unsurpassable,1.0,0.0,unsurpassable
thorough,0.75,0.0,संपूर्ण
cautious,0.75,0.0,सतर्क
competent,0.75,0.0,सक्षम
workmanlike,0.75,0.0,कारीगर जैसे
competent,0.75,0.0,सक्षम
full-blown,0.75,0.0,प्रफुल्ल
conspicuous,0.75,0.0,विशिष्ट
differentiable,0.75,0.0,विभेदक
constant,0.75,0.125,स्थिर
incorrupt,0.75,0.25,ईमानदार
corn-fed,0.75,0.0,मक्का खिलाया
decorous,0.75,0.0,शिष्ट
definite,0.75,0.0,निश्चित
importunate,0.75,0.125,हठी
plummy,0.75,0.0,किशमिश से भरा हुआ
discerning,0.875,0.0,विवेकी
incisive,0.75,0.0,काटा हुआ
metal-cutting,0.75,0.0,धातु को काटना
bounden,0.875,0.0,परम
disenchanted,0.875,0.0,मोहभंग
exportable,0.75,0.0,निर्यात
enlightened,0.75,0.0,प्रबुद्ध
estimable,1.0,0.0,आदर लायक़
exchangeable,0.75,0.0,बदलानेवाला
expendable,0.75,0.0,उपभोजित
extricable,0.75,0.0,extricable
fit,0.75,0.0,फिट
pleasant-smelling,0.75,0.0,सुखद महक
goodish,0.75,0.0,goodish
goody-goody,0.875,0.0,पाखंडी
white,0.75,0.0,सफेद
good-natured,0.75,0.0,नेकदिल
gainly,0.875,0.0,Gainly
bouncing,0.75,0.0,उछाल वाली
firm,0.875,0.0,दृढ़
hearty,0.75,0.0,हार्दिक
well-preserved,0.75,0.0,अच्छी तरह से संरक्षित
laureate,0.75,0.0,पुरस्कार विजेता
droll,0.75,0.0,हंसी उड़ाना
measurable,0.75,0.0,औसत दर्जे का
intellectual,0.875,0.0,बौद्धिक
inviting,0.75,0.0,आमंत्रित
gladsome,0.75,0.0,ख़ुश
singable,0.75,0.0,singable
moralistic,0.75,0.125,नैतिक
incorrupt,0.75,0.25,ईमानदार
licit,0.75,0.0,बोली
incumbent,0.875,0.0,निर्भर
unimpassioned,0.75,0.0,unimpassioned
finished,0.75,0.0,ख़त्म होना
microscopic,0.75,0.0,सूक्ष्म
halal,0.75,0.0,वैध
kosher,0.75,0.0,कोषेर
disarming,0.75,0.125,निरस्त्रीकरण
white,0.75,0.125,सफेद
ladylike,0.75,0.0,स्रीवत
unprintable,0.75,0.25,गंदा
diffident,0.875,0.0,संकोची
answerable,0.875,0.0,जवाबदेह
emancipative,0.75,0.125,emancipative
danceable,0.75,0.0,danceable
opposite,0.75,0.125,सामने
antiseptic,0.75,0.25,सड़न रोकनेवाली दबा
shapely,0.75,0.0,सुडौल
well-proportioned,0.75,0.0,अच्छी तरह से सानुपातिक
sound,0.75,0.0,ध्वनि
straightarrow,0.875,0.125,सीधा तीर
upper,0.75,0.0,ऊपरी
banner,0.875,0.0,बैनर
gilt-edged,0.75,0.0,पहली श्रेणी का
premium,0.75,0.0,प्रीमियम
shining,0.75,0.0,चमकदार
spiffing,0.875,0.0,spiffing
choice,0.75,0.125,पसंद
serviceable,0.75,0.0,फ़ायदेमंद
sacred,0.75,0.0,धार्मिक
constitutional,0.75,0.0,संवैधानिक
deliverable,0.75,0.0,प्रदेय
ducal,0.75,0.0,Ducal
masterstroke,0.75,0.0,मास्टरस्ट्रोक
pleasantry,0.75,0.0,हँसी
indignity,0.75,0.0,रोष
props,0.875,0.0,रंगमंच की सामग्री
titillation,0.75,0.0,गुदगुदाना
beatification,0.75,0.0,परम सुख
rambouillet,0.75,0.0,Rambouillet
character,0.875,0.0,चरित्र
drama,0.75,0.0,नाटक
chirpiness,0.75,0.0,chirpiness
vivacity,0.75,0.25,चुस्ती
mettlesomeness,0.75,0.0,mettlesomeness
bluffness,0.875,0.0,bluffness
picturesqueness,0.875,0.0,सरसता
pleasingness,0.75,0.0,pleasingness
attractiveness,0.75,0.0,आकर्षण
innateness,0.75,0.25,innateness
totality,0.75,0.0,समग्रता
looseness,0.75,0.25,ढील
wholesomeness,0.875,0.0,स्वास्थ्य-प्रदाता
healthfulness,0.875,0.0,healthfulness
trueness,0.75,0.0,सच्चाई
tastefulness,0.875,0.0,tastefulness
urbanity,0.875,0.0,शिष्टता
conscientiousness,0.75,0.0,कर्त्तव्य निष्ठां
safeness,0.75,0.25,निश्चिंतता
scrupulousness,0.75,0.0,परिशुद्धता
integrity,0.875,0.125,अखंडता
probity,0.75,0.0,ईमानदारी
artfulness,0.75,0.0,चलाकी
