Term,PosScore,NegScore,Marathi
rare,0.0,0.875,दुर्मिळ
avirulent,0.0,0.875,उत्साही
nonadhesive,0.0,0.75,nonadhesive
ungummed,0.0,0.75,ती गर्भवती आहे
acrophobic,0.0,0.75,अ‍ॅक्रोफोबिक
agoraphobic,0.0,0.75,oraगोराफोबिक
algophobic,0.0,0.875,अल्गोफोबिक
claustrophobic,0.0,0.75,क्लॉस्ट्रोफोबिक
mysophobic,0.0,0.75,मायसोफोबिक
xenophobic,0.0,0.75,झेनोफोबिक
unagitated,0.0,0.75,अप्रिय
malapropos,0.25,0.75,मालाप्रॉपोस
aphasic,0.0,0.75,अस्पष्ट
thunderous,0.125,0.875,गडगडाटी
unconscious,0.0,0.75,बेशुद्ध
unstratified,0.0,0.75,अप्रबंधित
fugly,0.0,0.75,fugly
unbanded,0.0,0.75,अनपेन्डेड
maleficent,0.0,0.75,खिडकी
venomed,0.125,0.75,विषारी
vixenish,0.0,0.875,vixenish
uncompartmented,0.0,0.75,बिनधास्त
slate-black,0.0,0.75,स्लेट-ब्लॅक
augean,0.222,0.778,ऑजीयन
dirty-faced,0.0,0.75,घाणेरडा
smudgy,0.0,0.75,हसवणारा
unswept,0.0,0.75,अस्ताव्यस्त
unwashed,0.0,0.75,न धुलेले
uncousinly,0.0,0.75,नकळत
fogbound,0.0,0.75,धुक्याचा
unpublishable,0.25,0.75,अप्रकाशित
comfortless,0.0,0.875,अस्वस्थ
uncommercial,0.0,0.75,बेशिस्त
unworkmanlike,0.25,0.75,अकार्यक्षम
noncompetitive,0.0,0.75,अस्पर्धात्मक
uncommitted,0.0,0.75,बिनविरोध
unconquerable,0.125,0.75,अविश्वसनीय
ravaging,0.0,0.75,उधळपट्टी
unchallengeable,0.0,0.75,अचल
unargumentative,0.0,0.75,निरुपयोगी
noncontentious,0.0,0.75,नॉन-कॉन्टेन्टियस
inconvenient,0.125,0.75,गैरसोयीचे
unconventional,0.0,0.75,अपारंपरिक
conformist,0.0,0.75,अनुरूप
unpersuasive,0.0,0.75,निरुपयोगी
raw,0.0,0.75,कच्चा
untoasted,0.0,0.75,toasted
putrid,0.3,0.7,पुट्रिड
antiphlogistic,0.0,0.75,प्रतिजैविक
wrongheaded,0.25,0.75,चुकीचे डोके असलेले
uncorrected,0.0,0.75,अयोग्य
unremedied,0.0,0.75,बिनधास्त
constipated,0.0,0.75,बद्धकोष्ठता
overcredulous,0.0,0.75,काटेकोरपणे
censorious,0.0,0.875,सेन्सॉरियस
uncritical,0.0,0.75,बेकायदेशीर
noncurrent,0.0,0.75,अविरत
knocked-out,0.0,0.875,ठोठावले
storm-beaten,0.0,0.75,वादळ-मारहाण
undatable,0.0,0.75,अबाधित
undeclared,0.0,0.75,अघोषित
indefeasible,0.0,0.75,अनिश्चित
nonresistant,0.0,0.75,नॉन-प्रतिरोधक
infrangible,0.0,0.75,अबाधित
peremptory,0.0,0.75,पेरेम्प्टरी
undemonstrative,0.0,0.75,निर्विवाद
undeniable,0.0,0.875,निर्विवाद
dependent,0.0,0.75,अवलंबून
undescriptive,0.125,0.75,अलिखित
undiplomatic,0.0,0.75,अव्यवस्थित
alienating,0.0,0.75,परकीय
indirect,0.0,0.75,अप्रत्यक्ष
promiscuous,0.0,0.75,वचन दिले
unselective,0.125,0.75,निवड रद्द करणे
indistinct,0.25,0.75,निर्विवाद
indiscrete,0.0,0.75,उदासीनपणे
untheatrical,0.0,0.75,अप्रसिद्ध
uneducated,0.25,0.75,अशिक्षित
sisyphean,0.0,0.75,सिसिफिन
unemployable,0.0,0.75,बेरोजगार
unburdened,0.0,0.75,असमाधानकारक
unexportable,0.25,0.75,बेसुमार
remittent,0.125,0.75,पाठपुरावा
nostalgic,0.0,0.75,उदासीन
homesick,0.0,0.75,होमस्किक
unquestionable,0.0,0.75,निर्विवाद
patchy,0.0,0.75,उदास
unparallel,0.0,0.875,अतुलनीय
unexchangeable,0.25,0.75,न बदलणारे
nonextant,0.0,0.75,काहीही नाही
unexpendable,0.25,0.75,अप्रभावी
fingerless,0.0,0.75,बोटविना
inextinguishable,0.0,0.875,अक्षय
unfastidious,0.0,0.75,बडबड
blubbery,0.125,0.75,ब्लूबेरी
infelicitous,0.0,0.75,अपमानकारक
unhewn,0.0,0.75,अनजाण
unsuitable,0.0,0.75,अयोग्य
adventive,0.0,0.75,त्रासदायक
abject,0.0,1.0,गोषवारा
niffy,0.0,0.75,निफ्टी
putrid-smelling,0.3,0.7,घाण वास घेणे
unfree,0.0,0.75,अनफ्री
addled,0.0,0.75,जोडले
day-old,0.0,0.875,दिवस-जुन्या
unfruitful,0.0,0.75,निष्फळ
sperm-filled,0.0,0.75,शुक्राणूंनी भरलेले
nonfunctional,0.0,0.75,नॉनफंक्शनल
nonproprietary,0.0,0.75,गैर-सरकारी
base,0.0,0.875,पाया
pseudo,0.0,0.75,छद्म
synthetic,0.125,0.875,कृत्रिम
no-go,0.0,0.75,नाही जा
ill,0.0,0.875,आजारी
swingeing,0.0,0.875,swingeing
uncool,0.0,0.875,कूल
