Term,PosScore,NegScore,Oriya
rare,0.0,0.875,ବିରଳ
avirulent,0.0,0.875,avirulent
nonadhesive,0.0,0.75,nonadhesive
ungummed,0.0,0.75,ସେ ଗର୍ଭବତୀ ଅଛନ୍ତି
acrophobic,0.0,0.75,ଆକ୍ରୋଫୋବିକ୍ |
agoraphobic,0.0,0.75,ଆଗୋରୋଫୋବିକ୍ |
algophobic,0.0,0.875,ଆଲଗୋଫୋବିକ୍ |
claustrophobic,0.0,0.75,କ୍ଲାଷ୍ଟ୍ରୋଫୋବିକ୍ |
mysophobic,0.0,0.75,ମାଇସୋଫୋବିକ୍ |
xenophobic,0.0,0.75,ଜେନୋଫୋବିକ୍ |
unagitated,0.0,0.75,ଅଣସଂଗଠିତ |
malapropos,0.25,0.75,ମାଲାପ୍ରୋପୋସ୍ |
aphasic,0.0,0.75,ଆପାସିକ୍ |
thunderous,0.125,0.875,ବଜ୍ରପାତ
unconscious,0.0,0.75,ଚେତାଶୂନ୍ୟ
unstratified,0.0,0.75,ଅଣସଂଗଠିତ |
fugly,0.0,0.75,fugly
unbanded,0.0,0.75,ବନ୍ଧନ
maleficent,0.0,0.75,ପୁରୁଷୋତ୍ତମ |
venomed,0.125,0.75,ବିଷାକ୍ତ
vixenish,0.0,0.875,vixenish
uncompartmented,0.0,0.75,ଅବିଭକ୍ତ
slate-black,0.0,0.75,ସ୍ଲେଟ୍-କଳା
augean,0.222,0.778,augean
dirty-faced,0.0,0.75,ମଇଳା ମୁଖ
smudgy,0.0,0.75,ଦୁର୍ଗନ୍ଧ
unswept,0.0,0.75,ଅଣସଂରକ୍ଷିତ |
unwashed,0.0,0.75,ଧୋଇବା
uncousinly,0.0,0.75,ଅଜାଣତରେ |
fogbound,0.0,0.75,କୁହୁଡି |
unpublishable,0.25,0.75,ପ୍ରକାଶିତ ନୁହେଁ |
comfortless,0.0,0.875,ଆରାମଦାୟକ |
uncommercial,0.0,0.75,ଅସାଧାରଣ
unworkmanlike,0.25,0.75,କାର୍ଯ୍ୟହୀନ ପରି |
noncompetitive,0.0,0.75,ଅସଂପୂର୍ଣ୍ଣ
uncommitted,0.0,0.75,ଅଣସଂଗଠିତ |
unconquerable,0.125,0.75,ଅସମର୍ଥ |
ravaging,0.0,0.75,କ୍ଷତିକାରକ |
unchallengeable,0.0,0.75,ଅବିସ୍ମରଣୀୟ |
unargumentative,0.0,0.75,ଯୁକ୍ତିହୀନ |
noncontentious,0.0,0.75,ଅସନ୍ତୁଷ୍ଟ
inconvenient,0.125,0.75,ଅସୁବିଧାଜନକ
unconventional,0.0,0.75,ଅସାଧାରଣ
conformist,0.0,0.75,କନଫର୍ମର୍
unpersuasive,0.0,0.75,ଅଣସଂରକ୍ଷିତ |
raw,0.0,0.75,କଞ୍ଚା |
untoasted,0.0,0.75,ଟୋଷ୍ଟେଡ୍ |
putrid,0.3,0.7,ପୁଟ୍ରିଡ୍ |
antiphlogistic,0.0,0.75,ଆଣ୍ଟିଫ୍ଲୋଗିଷ୍ଟିକ୍ |
wrongheaded,0.25,0.75,ଭୁଲ୍
uncorrected,0.0,0.75,ସଂଶୋଧିତ
unremedied,0.0,0.75,ଅଣସଂରକ୍ଷିତ |
constipated,0.0,0.75,କୋଷ୍ଠକାଠିନ୍ୟ
overcredulous,0.0,0.75,ଅତ୍ୟଧିକ
censorious,0.0,0.875,ସେନ୍ସର
uncritical,0.0,0.75,ଅପ୍ରାକୃତିକ |
noncurrent,0.0,0.75,ଅଣସଂରକ୍ଷିତ |
knocked-out,0.0,0.875,ନକ୍ ଆଉଟ୍ |
storm-beaten,0.0,0.75,storm ଡ଼ତୋଫାନ
undatable,0.0,0.75,ଅବହେଳିତ |
undeclared,0.0,0.75,ଅଘୋଷିତ |
indefeasible,0.0,0.75,ଅବିସ୍ମରଣୀୟ |
nonresistant,0.0,0.75,ଅସହିଷ୍ଣୁ |
infrangible,0.0,0.75,ଅକ୍ଷୟ
peremptory,0.0,0.75,peremptory
undemonstrative,0.0,0.75,ଅଜ୍ଞାତ
undeniable,0.0,0.875,ଅସ୍ୱୀକାରଯୋଗ୍ୟ |
dependent,0.0,0.75,ନିର୍ଭରଶୀଳ |
undescriptive,0.125,0.75,ଅନାବଶ୍ୟକ |
undiplomatic,0.0,0.75,ଅଜ୍ଞାତ
alienating,0.0,0.75,ବିଚ୍ଛିନ୍ନ
indirect,0.0,0.75,ପରୋକ୍ଷ |
promiscuous,0.0,0.75,ବ୍ୟଭିଚାର
unselective,0.125,0.75,ଅଣସଂଗଠିତ |
indistinct,0.25,0.75,ନିର୍ଦ୍ଦିଷ୍ଟ |
indiscrete,0.0,0.75,ଉଦାସୀନ ଭାବରେ |
untheatrical,0.0,0.75,ଅସ୍ୱାଭାବିକ |
uneducated,0.25,0.75,ଅଶିକ୍ଷିତ |
sisyphean,0.0,0.75,ସିସିଫାନ୍ |
unemployable,0.0,0.75,ବେକାର
unburdened,0.0,0.75,ଭାରହୀନ
unexportable,0.25,0.75,ଅବିସ୍ମରଣୀୟ |
remittent,0.125,0.75,ଟଙ୍କା
nostalgic,0.0,0.75,ନାଷ୍ଟାଲଜିକ୍ |
homesick,0.0,0.75,ଘରକୁ ଘୋର
unquestionable,0.0,0.75,ପ୍ରଶ୍ନ
patchy,0.0,0.75,ପ୍ୟାଚି
unparallel,0.0,0.875,ଅନୁପଯୁକ୍ତ
unexchangeable,0.25,0.75,ଅଦଳବଦଳ
nonextant,0.0,0.75,nonextant
unexpendable,0.25,0.75,ଅପ୍ରତ୍ୟାଶିତ |
fingerless,0.0,0.75,ଆଙ୍ଗୁଠିହୀନ |
inextinguishable,0.0,0.875,ଅବିସ୍ମରଣୀୟ |
unfastidious,0.0,0.75,ଅବିଶ୍ୱାସନୀୟ |
blubbery,0.125,0.75,ଅସ୍ପଷ୍ଟ
infelicitous,0.0,0.75,ଅବିଶ୍ୱାସୀ |
unhewn,0.0,0.75,ଅନାବୃତ
unsuitable,0.0,0.75,ଅନୁପଯୁକ୍ତ
adventive,0.0,0.75,ସାହସିକ
abject,0.0,1.0,ଅବଜେକ୍ଟ
niffy,0.0,0.75,ନିଫି
putrid-smelling,0.3,0.7,ପୁଟ୍ରିଡ୍-ଗନ୍ଧ
unfree,0.0,0.75,ଅସନ୍ତୁଷ୍ଟ
addled,0.0,0.75,ଯୋଗ କରାଯାଇଛି |
day-old,0.0,0.875,ଦିନ-ପୁରୁଣା
unfruitful,0.0,0.75,ଫଳହୀନ
sperm-filled,0.0,0.75,ଶୁକ୍ରାଣୁ ଭର୍ତି |
nonfunctional,0.0,0.75,କାର୍ଯ୍ୟକ୍ଷମ ନୁହେଁ |
nonproprietary,0.0,0.75,ଅଣ-ମାଲିକାନା |
base,0.0,0.875,ଆଧାର
pseudo,0.0,0.75,ଛଉ
synthetic,0.125,0.875,ସିନ୍ଥେଟିକ୍ |
no-go,0.0,0.75,ନା-ଯାଅ |
ill,0.0,0.875,ଅସୁସ୍ଥ
swingeing,0.0,0.875,ସୁଇଙ୍ଗ୍
uncool,0.0,0.875,uncool
unsuitable,0.222,0.778,ଅନୁପଯୁକ୍ତ
evil-minded,0.0,0.75,ମନ୍ଦ ଚିନ୍ତାଧାରା
churlish,0.0,0.875,ଚୁର୍ଲିସ୍ |
churlish,0.25,0.75,ଚୁର୍ଲିସ୍ |
fulminant,0.0,0.75,ପୂର୍ଣ୍ଣ
appreciative,0.25,0.75,କୃତଜ୍ଞ
unappreciative,0.0,0.75,ଅମୂଲ୍ୟ
ill,0.0,0.75,ଅସୁସ୍ଥ
bloodshot,0.0,0.75,ରକ୍ତପାତ
caseous,0.0,0.75,କେସ୍
inflamed,0.0,0.875,ପ୍ରଦାହ
sore-eyed,0.0,0.75,ଆଖିରେ ଘା ’
varicose,0.0,0.875,varicose
