Term,PosScore,NegScore,Kannada
rare,0.0,0.875,ಅಪರೂಪ
avirulent,0.0,0.875,ಅವಿವೇಕದ
nonadhesive,0.0,0.75,ನಾನ್ಅಡೆಸಿವ್
ungummed,0.0,0.75,ಅವಳು ಬಸುರಿ
acrophobic,0.0,0.75,ಅಕ್ರೊಫೋಬಿಕ್
agoraphobic,0.0,0.75,ಅಗೋರಾಫೋಬಿಕ್
algophobic,0.0,0.875,ಆಲ್ಗೋಫೋಬಿಕ್
claustrophobic,0.0,0.75,ಕ್ಲಾಸ್ಟ್ರೋಫೋಬಿಕ್
mysophobic,0.0,0.75,ಮೈಸೊಫೋಬಿಕ್
xenophobic,0.0,0.75,en ೆನೋಫೋಬಿಕ್
unagitated,0.0,0.75,unagited
malapropos,0.25,0.75,ಮಾಲಪ್ರೊಪೊಸ್
aphasic,0.0,0.75,ಅಫಾಸಿಕ್
thunderous,0.125,0.875,ಗುಡುಗು
unconscious,0.0,0.75,ಸುಪ್ತಾವಸ್ಥೆ
unstratified,0.0,0.75,ದೃ st ೀಕರಿಸದ
fugly,0.0,0.75,ಫಗ್ಲಿ
unbanded,0.0,0.75,ನಿಷೇಧಿಸದ
maleficent,0.0,0.75,ದೋಷಪೂರಿತ
venomed,0.125,0.75,ವಿಷಪೂರಿತ
vixenish,0.0,0.875,ವಿಕ್ಸೆನಿಶ್
uncompartmented,0.0,0.75,ವಿಭಾಗವಿಲ್ಲದ
slate-black,0.0,0.75,ಸ್ಲೇಟ್-ಕಪ್ಪು
augean,0.222,0.778,augean
dirty-faced,0.0,0.75,ಕೊಳಕು ಮುಖದ
smudgy,0.0,0.75,ಹೊಗೆಯಾಡಿಸುವ
unswept,0.0,0.75,ಅಶುದ್ಧ
unwashed,0.0,0.75,ತೊಳೆಯದ
uncousinly,0.0,0.75,ಅಸಹ್ಯವಾಗಿ
fogbound,0.0,0.75,ಮಂಜುಗಡ್ಡೆ
unpublishable,0.25,0.75,ಅಪ್ರಕಟಿತ
comfortless,0.0,0.875,ಆರಾಮ
uncommercial,0.0,0.75,ವಾಣಿಜ್ಯೇತರ
unworkmanlike,0.25,0.75,ಕೆಲಸವಿಲ್ಲದ
noncompetitive,0.0,0.75,ಸ್ಪರ್ಧಾತ್ಮಕವಲ್ಲದ
uncommitted,0.0,0.75,ಒಪ್ಪಿಕೊಂಡಿಲ್ಲ
unconquerable,0.125,0.75,ಅಜೇಯ
ravaging,0.0,0.75,ವಿನಾಶ
unchallengeable,0.0,0.75,ಪ್ರಶ್ನಾರ್ಹವಲ್ಲ
unargumentative,0.0,0.75,ಅನಿಯಂತ್ರಿತ
noncontentious,0.0,0.75,ಅಸಂಖ್ಯಾತ
inconvenient,0.125,0.75,ಅನಾನುಕೂಲ
unconventional,0.0,0.75,ಅಸಾಂಪ್ರದಾಯಿಕ
conformist,0.0,0.75,ಅನುರೂಪವಾದಿ
unpersuasive,0.0,0.75,ಸ್ಪಷ್ಟವಾಗಿಲ್ಲ
raw,0.0,0.75,ಕಚ್ಚಾ
untoasted,0.0,0.75,ಟೋಸ್ಟ್ ಮಾಡಲಾಗಿದೆ
putrid,0.3,0.7,ಪುಟ್ರಿಡ್
antiphlogistic,0.0,0.75,ಆಂಟಿಫ್ಲೊಜಿಸ್ಟಿಕ್
wrongheaded,0.25,0.75,ತಪ್ಪು ಹೆಡ್ಡ್
uncorrected,0.0,0.75,ಸರಿಪಡಿಸಲಾಗಿಲ್ಲ
unremedied,0.0,0.75,ಗಮನಹರಿಸದ
constipated,0.0,0.75,ಮಲಬದ್ಧತೆ
overcredulous,0.0,0.75,ಅತಿಯಾದ
censorious,0.0,0.875,ಸೆನ್ಸಾರ್
uncritical,0.0,0.75,ವಿಮರ್ಶಾತ್ಮಕವಲ್ಲದ
noncurrent,0.0,0.75,ಪ್ರಸ್ತುತವಲ್ಲದ
knocked-out,0.0,0.875,ನಾಕ್- .ಟ್
storm-beaten,0.0,0.75,ಚಂಡಮಾರುತದ ಹೊಡೆತ
undatable,0.0,0.75,ಅನಿರ್ದಿಷ್ಟ
undeclared,0.0,0.75,ಅಘೋಷಿತ
indefeasible,0.0,0.75,ಅನಿರ್ದಿಷ್ಟ
nonresistant,0.0,0.75,ತಡೆರಹಿತ
infrangible,0.0,0.75,ಇನ್ಫ್ರಾಂಜಿಬಲ್
peremptory,0.0,0.75,ಪೆರೆಂಪ್ಟರಿ
undemonstrative,0.0,0.75,ಪ್ರದರ್ಶಿಸದ
undeniable,0.0,0.875,ನಿರಾಕರಿಸಲಾಗದ
dependent,0.0,0.75,ಅವಲಂಬಿತ
undescriptive,0.125,0.75,ವಿವರಣಾತ್ಮಕ
undiplomatic,0.0,0.75,ರಾಜತಾಂತ್ರಿಕ
alienating,0.0,0.75,ದೂರವಾಗುವುದು
indirect,0.0,0.75,ಪರೋಕ್ಷ
promiscuous,0.0,0.75,ಅಶ್ಲೀಲ
unselective,0.125,0.75,ಆಯ್ಕೆ ಮಾಡದ
indistinct,0.25,0.75,ಅಸ್ಪಷ್ಟ
indiscrete,0.0,0.75,ಅಸಡ್ಡೆ
untheatrical,0.0,0.75,ಅನಾರೋಗ್ಯಕರ
uneducated,0.25,0.75,ಅಶಿಕ್ಷಿತ
sisyphean,0.0,0.75,ಸಿಸಿಫೀನ್
unemployable,0.0,0.75,ನಿರುದ್ಯೋಗಿ
unburdened,0.0,0.75,ಹೊರೆಯಿಲ್ಲ
unexportable,0.25,0.75,ರಫ್ತು ಮಾಡಲಾಗದ
remittent,0.125,0.75,ರವಾನೆ
nostalgic,0.0,0.75,ನಾಸ್ಟಾಲ್ಜಿಕ್
homesick,0.0,0.75,ಮನೆಮನೆ
unquestionable,0.0,0.75,ಪ್ರಶ್ನಾತೀತ
patchy,0.0,0.75,ತೇಪೆ
unparallel,0.0,0.875,ಸಾಟಿಯಿಲ್ಲದ
unexchangeable,0.25,0.75,ಬದಲಾಯಿಸಲಾಗದು
nonextant,0.0,0.75,ಯಾವುದೂ ಇಲ್ಲ
unexpendable,0.25,0.75,ಖರ್ಚು ಮಾಡಲಾಗದ
fingerless,0.0,0.75,ಬೆರಳುರಹಿತ
inextinguishable,0.0,0.875,ವಿವರಿಸಲಾಗದ
unfastidious,0.0,0.75,ಅಸಹ್ಯಕರ
blubbery,0.125,0.75,ಬ್ಲಬ್ಬರಿ
infelicitous,0.0,0.75,ಅಪ್ರಚೋದಕ
unhewn,0.0,0.75,ಅಜ್ಞಾತ
unsuitable,0.0,0.75,ಸೂಕ್ತವಲ್ಲ
adventive,0.0,0.75,ಸಾಹಸಮಯ
abject,0.0,1.0,ಅಸಹ್ಯ
niffy,0.0,0.75,ನಿಫ್ಫಿ
putrid-smelling,0.3,0.7,ಪುಟ್ರಿಡ್-ವಾಸನೆ
unfree,0.0,0.75,ಮುಕ್ತ
addled,0.0,0.75,addled
