Term,PosScore,NegScore,Tamil
direct,0.75,0.0,நேரடி
adoptable,0.75,0.0,தத்தெடுக்கக்கூடியது
due,0.75,0.0,காரணமாக
ravishing,0.75,0.0,அழிவு
benefic,0.75,0.0,நன்மை பயக்கும்
unsurpassable,1.0,0.0,மீறமுடியாதது
thorough,0.75,0.0,முழுமையானது
cautious,0.75,0.0,எச்சரிக்கையாக
competent,0.75,0.0,திறமையானவர்
workmanlike,0.75,0.0,பணிபுரியும்
competent,0.75,0.0,திறமையானவர்
full-blown,0.75,0.0,முழு வீசிய
conspicuous,0.75,0.0,பகட்டான
differentiable,0.75,0.0,வேறுபடுத்தக்கூடியது
constant,0.75,0.125,மாறிலி
incorrupt,0.75,0.25,தவறான
corn-fed,0.75,0.0,சோளம் ஊட்டி
decorous,0.75,0.0,அலங்கார
definite,0.75,0.0,திட்டவட்டமான
importunate,0.75,0.125,இறக்குமதி
plummy,0.75,0.0,பிளம்மி
discerning,0.875,0.0,விவேகமான
incisive,0.75,0.0,incisive
metal-cutting,0.75,0.0,உலோக வெட்டு
bounden,0.875,0.0,எல்லை
disenchanted,0.875,0.0,ஏமாற்றமடைந்தார்
exportable,0.75,0.0,ஏற்றுமதி செய்யக்கூடியது
enlightened,0.75,0.0,அறிவொளி
estimable,1.0,0.0,மதிப்பிடத்தக்கது
exchangeable,0.75,0.0,பரிமாற்றம் செய்யக்கூடியது
expendable,0.75,0.0,செலவு செய்யக்கூடியது
extricable,0.75,0.0,பிரித்தெடுக்கக்கூடியது
fit,0.75,0.0,பொருத்தம்
pleasant-smelling,0.75,0.0,இனிமையான மணம்
goodish,0.75,0.0,நல்ல
goody-goody,0.875,0.0,நல்ல-நல்ல
white,0.75,0.0,வெள்ளை
good-natured,0.75,0.0,நல்ல இயல்புடையவர்
gainly,0.875,0.0,ஆதாயம்
bouncing,0.75,0.0,துள்ளல்
firm,0.875,0.0,நிறுவனம்
hearty,0.75,0.0,மனம் நிறைந்த
well-preserved,0.75,0.0,நன்கு பாதுகாக்கப்படுகிறது
laureate,0.75,0.0,பரிசு பெற்றவர்
droll,0.75,0.0,துளை
measurable,0.75,0.0,அளவிடக்கூடியது
intellectual,0.875,0.0,அறிவுசார்
inviting,0.75,0.0,அழைக்கும்
gladsome,0.75,0.0,கிளாட்ஸோம்
singable,0.75,0.0,பாடக்கூடியது
moralistic,0.75,0.125,அறநெறி
incorrupt,0.75,0.25,தவறான
licit,0.75,0.0,ஏலம்
incumbent,0.875,0.0,பதவியில்
unimpassioned,0.75,0.0,unimpassioned
finished,0.75,0.0,முடிந்தது
microscopic,0.75,0.0,நுண்ணிய
halal,0.75,0.0,சட்டபூர்வமானது
kosher,0.75,0.0,கோஷர்
disarming,0.75,0.125,நிராயுதபாணியாக்கம்
white,0.75,0.125,வெள்ளை
ladylike,0.75,0.0,பெண் போன்ற
unprintable,0.75,0.25,அச்சிட முடியாதது
diffident,0.875,0.0,வேறுபட்டது
answerable,0.875,0.0,பதிலளிக்கக்கூடிய
emancipative,0.75,0.125,விடுதலை
danceable,0.75,0.0,நடனமாடக்கூடியது
opposite,0.75,0.125,எதிர்
antiseptic,0.75,0.25,கிருமி நாசினிகள்
shapely,0.75,0.0,வடிவமாக
well-proportioned,0.75,0.0,நன்கு விகிதாசார
sound,0.75,0.0,ஒலி
straightarrow,0.875,0.125,நேராக
upper,0.75,0.0,மேல்
banner,0.875,0.0,பதாகை
gilt-edged,0.75,0.0,கில்ட் முனைகள்
premium,0.75,0.0,பிரீமியம்
shining,0.75,0.0,பிரகாசிக்கிறது
spiffing,0.875,0.0,spiffing
choice,0.75,0.125,தேர்வு
serviceable,0.75,0.0,சேவை செய்யக்கூடியது
sacred,0.75,0.0,புனிதமானது
constitutional,0.75,0.0,அரசியலமைப்பு
deliverable,0.75,0.0,வழங்கக்கூடியது
ducal,0.75,0.0,ducal
masterstroke,0.75,0.0,மாஸ்டர்ஸ்ட்ரோக்
pleasantry,0.75,0.0,இனிமையானது
indignity,0.75,0.0,கோபம்
props,0.875,0.0,முட்டுகள்
titillation,0.75,0.0,தலைப்பு
beatification,0.75,0.0,அடிமைப்படுத்தல்
rambouillet,0.75,0.0,rambouillet
character,0.875,0.0,தன்மை
drama,0.75,0.0,நாடகம்
chirpiness,0.75,0.0,உற்சாகம்
vivacity,0.75,0.25,உயிரோட்டம்
mettlesomeness,0.75,0.0,mettlesomeness
bluffness,0.875,0.0,மழுங்கல்
picturesqueness,0.875,0.0,picturesqueness
pleasingness,0.75,0.0,மகிழ்ச்சி
attractiveness,0.75,0.0,கவர்ச்சி
innateness,0.75,0.25,இயல்பற்ற தன்மை
totality,0.75,0.0,மொத்தம்
looseness,0.75,0.25,தளர்வு
wholesomeness,0.875,0.0,ஆரோக்கியம்
healthfulness,0.875,0.0,ஆரோக்கியம்
trueness,0.75,0.0,உண்மை
tastefulness,0.875,0.0,சுவை
urbanity,0.875,0.0,நகர்ப்புறம்
conscientiousness,0.75,0.0,மனசாட்சி
safeness,0.75,0.25,பாதுகாப்பு
scrupulousness,0.75,0.0,மோசமான
integrity,0.875,0.125,நேர்மை
probity,0.75,0.0,நிகழ்தகவு
artfulness,0.75,0.0,கலைத்திறன்
dedication,0.875,0.0,அர்ப்பணிப்பு
urbanity,0.875,0.0,நகர்ப்புறம்
crispness,0.875,0.0,மிருதுவான தன்மை
extremeness,0.75,0.25,தீவிரம்
reasonableness,0.75,0.0,நியாயத்தன்மை
affirmativeness,0.75,0.0,உறுதிப்படுத்தல்
importance,0.75,0.125,முக்கியத்துவம்
account,0.875,0.125,கணக்கு
meaningfulness,0.75,0.125,அர்த்தமுள்ள தன்மை
shrillness,0.75,0.25,கூச்சம்
eye,0.75,0.0,கண்
logic,0.75,0.0,தர்க்கம்
judiciousness,0.875,0.0,நீதித்துறை
ear,0.75,0.0,காது
balletomania,0.75,0.0,பாலேடோமேனியா
mastering,0.75,0.0,மாஸ்டரிங்
principle,0.75,0.0,கொள்கை
hedonism,0.75,0.0,ஹெடோனிசம்
courtesy,0.75,0.0,மரியாதை
topper,0.75,0.0,முதலிடம்
divination,0.875,0.0,கணிப்பு
moralism,0.75,0.125,அறநெறி
bonheur,0.875,0.0,மகிழ்ச்சி
beneficence,0.75,0.0,நன்மை
criollo,0.75,0.0,கிரியோல்
amoralist,0.75,0.0,ஒழுக்கவாதி
brick,0.75,0.0,செங்கல்
first-rater,1.0,0.0,முதல் மதிப்பீட்டாளர்
out-and-outer,0.75,0.0,வெளியே மற்றும் வெளிப்புறம்
pleaser,0.75,0.0,மகிழ்ச்சி
possible,0.75,0.0,சாத்தியம்
serendipity,0.75,0.125,தற்செயல்
antithesis,0.75,0.0,எதிர்வினை
contrary,0.75,0.0,மாறாக
algidity,0.75,0.25,அல்ஜிடிட்டி
pathology,0.75,0.125,நோயியல்
character,0.875,0.0,தன்மை
fettle,0.75,0.0,கரு
time,0.75,0.0,நேரம்
simply,0.75,0.0,வெறுமனே
downright,0.75,0.0,வெளிப்படையான
recuperate,0.75,0.0,குணமடை
redound,0.75,0.0,redound
enervate,0.75,0.0,enervate
