Term,PosScore,NegScore,Kannada
direct,0.75,0.0,ನೇರ
adoptable,0.75,0.0,ಅಳವಡಿಸಿಕೊಳ್ಳಬಹುದಾದ
due,0.75,0.0,ಕಾರಣ
ravishing,0.75,0.0,ವಿನಾಶಕಾರಿ
benefic,0.75,0.0,ಪ್ರಯೋಜನಕಾರಿ
unsurpassable,1.0,0.0,ಮೀರಿಸಲಾಗದ
thorough,0.75,0.0,ಸಂಪೂರ್ಣ
cautious,0.75,0.0,ಜಾಗರೂಕರಾಗಿರಿ
competent,0.75,0.0,ಸಮರ್ಥ
workmanlike,0.75,0.0,ಕೆಲಸಗಾರನಂತೆ
competent,0.75,0.0,ಸಮರ್ಥ
full-blown,0.75,0.0,ಪೂರ್ಣ-ಅರಳಿದ
conspicuous,0.75,0.0,ಎದ್ದುಕಾಣುವ
differentiable,0.75,0.0,ವಿಭಿನ್ನ
constant,0.75,0.125,ನಿರಂತರ
incorrupt,0.75,0.25,ತಪ್ಪಾಗಿದೆ
corn-fed,0.75,0.0,ಕಾರ್ನ್-ಫೀಡ್
decorous,0.75,0.0,ಅಲಂಕಾರಿಕ
definite,0.75,0.0,ನಿರ್ದಿಷ್ಟ
importunate,0.75,0.125,ಆಮದು
plummy,0.75,0.0,ಪ್ಲಮ್ಮಿ
discerning,0.875,0.0,ವಿವೇಚನೆ
incisive,0.75,0.0,is ೇದಕ
metal-cutting,0.75,0.0,ಲೋಹ ಕತ್ತರಿಸುವುದು
bounden,0.875,0.0,ಬೌಂಡೆನ್
disenchanted,0.875,0.0,ಭ್ರಮನಿರಸನ
exportable,0.75,0.0,ರಫ್ತು ಮಾಡಬಹುದಾದ
enlightened,0.75,0.0,ಪ್ರಬುದ್ಧ
estimable,1.0,0.0,ಅಂದಾಜು
exchangeable,0.75,0.0,ವಿನಿಮಯ ಮಾಡಿಕೊಳ್ಳಬಹುದು
expendable,0.75,0.0,ಖರ್ಚು ಮಾಡಬಹುದಾದ
extricable,0.75,0.0,ಹೊರತೆಗೆಯಬಹುದಾದ
fit,0.75,0.0,ಫಿಟ್
pleasant-smelling,0.75,0.0,ಆಹ್ಲಾದಕರ-ವಾಸನೆ
goodish,0.75,0.0,ಒಳ್ಳೆಯ
goody-goody,0.875,0.0,ಒಳ್ಳೆಯದು-ಒಳ್ಳೆಯದು
white,0.75,0.0,ಬಿಳಿ
good-natured,0.75,0.0,ಒಳ್ಳೆಯ ಸ್ವಭಾವದ
gainly,0.875,0.0,ಲಾಭದಾಯಕ
bouncing,0.75,0.0,ಪುಟಿಯುವ
firm,0.875,0.0,ದೃ
