Term,PosScore,NegScore,Malayalam
direct,0.75,0.0,നേരിട്ട്
adoptable,0.75,0.0,ദത്തെടുക്കാവുന്ന
due,0.75,0.0,കാരണം
ravishing,0.75,0.0,നശിപ്പിക്കുന്നു
benefic,0.75,0.0,പ്രയോജനകരമായ
unsurpassable,1.0,0.0,മറികടക്കാനാവില്ല
thorough,0.75,0.0,സമഗ്രമായ
cautious,0.75,0.0,ജാഗ്രത
competent,0.75,0.0,കഴിവുള്ള
workmanlike,0.75,0.0,ജോലിക്കാരൻ
competent,0.75,0.0,കഴിവുള്ള
full-blown,0.75,0.0,നിറഞ്ഞു
conspicuous,0.75,0.0,പ്രകടമാണ്
differentiable,0.75,0.0,വ്യത്യാസപ്പെടുത്താവുന്ന
constant,0.75,0.125,സ്ഥിര
incorrupt,0.75,0.25,തെറ്റാണ്
corn-fed,0.75,0.0,ധാന്യം തീറ്റ
decorous,0.75,0.0,അലങ്കാര
definite,0.75,0.0,നിശ്ചിത
importunate,0.75,0.125,ഇറക്കുമതി ചെയ്യുക
plummy,0.75,0.0,പ്ലംമി
discerning,0.875,0.0,വിവേചനാധികാരം
incisive,0.75,0.0,incisive
metal-cutting,0.75,0.0,മെറ്റൽ കട്ടിംഗ്
bounden,0.875,0.0,അതിർത്തി
disenchanted,0.875,0.0,നിരാശരായി
exportable,0.75,0.0,കയറ്റുമതി ചെയ്യാവുന്ന
enlightened,0.75,0.0,പ്രബുദ്ധരായ
estimable,1.0,0.0,കണക്കാക്കുന്നത്
exchangeable,0.75,0.0,കൈമാറ്റം ചെയ്യാവുന്ന
expendable,0.75,0.0,ചെലവഴിക്കാവുന്ന
extricable,0.75,0.0,എക്‌സ്‌ട്രാക്റ്റബിൾ
fit,0.75,0.0,ഫിറ്റ്
pleasant-smelling,0.75,0.0,സുഖകരമായ ഗന്ധം
goodish,0.75,0.0,നല്ല
goody-goody,0.875,0.0,നല്ല-നല്ല
white,0.75,0.0,വെള്ള
good-natured,0.75,0.0,നല്ല പ്രകൃതമുള്ള
gainly,0.875,0.0,ലാഭകരമായി
bouncing,0.75,0.0,കുതിക്കുന്നു
firm,0.875,0.0,ഉറച്ച
hearty,0.75,0.0,ഹൃദയംഗമമായ
well-preserved,0.75,0.0,നന്നായി സംരക്ഷിക്കപ്പെടുന്നു
laureate,0.75,0.0,പുരസ്കാര ജേതാവ്
droll,0.75,0.0,ഡ്രോൾ
measurable,0.75,0.0,അളക്കാവുന്ന
intellectual,0.875,0.0,ബൗദ്ധിക
inviting,0.75,0.0,ക്ഷണിക്കുന്നു
gladsome,0.75,0.0,ഗ്ലാഡ്‌സോം
singable,0.75,0.0,പാടാവുന്ന
moralistic,0.75,0.125,ധാർമ്മികത
incorrupt,0.75,0.25,തെറ്റാണ്
licit,0.75,0.0,ബിഡ്
incumbent,0.875,0.0,നിലവിലുള്ളത്
unimpassioned,0.75,0.0,താൽപ്പര്യമില്ലാത്ത
finished,0.75,0.0,പൂർത്തിയായി
microscopic,0.75,0.0,മൈക്രോസ്കോപ്പിക്
halal,0.75,0.0,നിയമാനുസൃതം
kosher,0.75,0.0,കോഷർ
disarming,0.75,0.125,നിരായുധീകരണം
white,0.75,0.125,വെള്ള
ladylike,0.75,0.0,സ്ത്രീ പോലുള്ള
unprintable,0.75,0.25,അച്ചടിക്കാൻ കഴിയില്ല
diffident,0.875,0.0,വ്യത്യസ്തമാണ്
answerable,0.875,0.0,ഉത്തരം നൽകാവുന്ന
emancipative,0.75,0.125,വിമോചനം
danceable,0.75,0.0,നൃത്തം ചെയ്യാവുന്ന
opposite,0.75,0.125,എതിർവശത്ത്
antiseptic,0.75,0.25,ആന്റിസെപ്റ്റിക്
shapely,0.75,0.0,ആകൃതിയിൽ
well-proportioned,0.75,0.0,നന്നായി ആനുപാതികമായി
sound,0.75,0.0,ശബ്ദം
straightarrow,0.875,0.125,നേരേ
upper,0.75,0.0,മുകളിലെ
banner,0.875,0.0,ബാനർ
gilt-edged,0.75,0.0,ഗിൽറ്റ്-എഡ്ജ്
premium,0.75,0.0,പ്രീമിയം
shining,0.75,0.0,തിളങ്ങുന്നു
spiffing,0.875,0.0,സ്പിഫിംഗ്
choice,0.75,0.125,ചോയിസ്
serviceable,0.75,0.0,സേവനയോഗ്യമാണ്
sacred,0.75,0.0,പവിത്രമാണ്
constitutional,0.75,0.0,ഭരണഘടനാപരമായ
deliverable,0.75,0.0,വിടുവിക്കാവുന്ന
ducal,0.75,0.0,ഡ്യൂക്കൽ
masterstroke,0.75,0.0,മാസ്റ്റർസ്ട്രോക്ക്
pleasantry,0.75,0.0,സുഖം
indignity,0.75,0.0,നീരസം
props,0.875,0.0,പ്രൊഫഷണലുകൾ
titillation,0.75,0.0,ടൈറ്റിലേഷൻ
beatification,0.75,0.0,ഭംഗി
rambouillet,0.75,0.0,റാംബില്ലറ്റ്
character,0.875,0.0,പ്രതീകം
drama,0.75,0.0,നാടകം
chirpiness,0.75,0.0,ചിരിപ്പ്
vivacity,0.75,0.25,സജീവത
mettlesomeness,0.75,0.0,mettlesomeness
bluffness,0.875,0.0,മണ്ടത്തരം
picturesqueness,0.875,0.0,ചിത്രരചന
pleasingness,0.75,0.0,പ്രസാദം
attractiveness,0.75,0.0,ആകർഷണം
innateness,0.75,0.25,അന്തർലീനത
totality,0.75,0.0,മൊത്തം
looseness,0.75,0.25,അയവുള്ളത്
wholesomeness,0.875,0.0,പൂർണ്ണത
healthfulness,0.875,0.0,ആരോഗ്യകരമായ
trueness,0.75,0.0,സത്യസന്ധത
tastefulness,0.875,0.0,രുചി
urbanity,0.875,0.0,നഗരത്വം
conscientiousness,0.75,0.0,മന ci സാക്ഷി
safeness,0.75,0.25,സുരക്ഷിതത്വം
scrupulousness,0.75,0.0,സൂക്ഷ്മത
integrity,0.875,0.125,സമഗ്രത
probity,0.75,0.0,സാധ്യത
artfulness,0.75,0.0,കലാപരമായി
dedication,0.875,0.0,സമർപ്പണം
urbanity,0.875,0.0,നഗരത്വം
crispness,0.875,0.0,ശാന്തത
extremeness,0.75,0.25,തീവ്രത
reasonableness,0.75,0.0,ന്യായബോധം
affirmativeness,0.75,0.0,സ്ഥിരീകരണം
importance,0.75,0.125,പ്രാധാന്യം
account,0.875,0.125,അക്കൗണ്ട്
meaningfulness,0.75,0.125,അർത്ഥവത്തായ
shrillness,0.75,0.25,ചുരുക്കം
eye,0.75,0.0,കണ്ണ്
logic,0.75,0.0,യുക്തി
judiciousness,0.875,0.0,നീതി
ear,0.75,0.0,ചെവി
balletomania,0.75,0.0,ബാലെറ്റോമാനിയ
mastering,0.75,0.0,മാസ്റ്ററിംഗ്
principle,0.75,0.0,തത്വം
hedonism,0.75,0.0,ഹെഡോണിസം
courtesy,0.75,0.0,കടപ്പാട്
topper,0.75,0.0,ടോപ്പർ
divination,0.875,0.0,ഭാവികാലം
moralism,0.75,0.125,ധാർമ്മികത
bonheur,0.875,0.0,സന്തോഷം
beneficence,0.75,0.0,പ്രയോജനം
criollo,0.75,0.0,ക്രിയോൾ
amoralist,0.75,0.0,അമോറലിസ്റ്റ്
brick,0.75,0.0,ഇഷ്ടിക
first-rater,1.0,0.0,ഫസ്റ്റ്-റേറ്റർ
out-and-outer,0.75,0.0,പുറത്തും പുറത്തും
pleaser,0.75,0.0,പ്രസാദകൻ
possible,0.75,0.0,സാധ്യമാണ്
serendipity,0.75,0.125,യാദൃശ്ചികത
antithesis,0.75,0.0,വിരുദ്ധത
contrary,0.75,0.0,നേരെമറിച്ച്
algidity,0.75,0.25,ആൽജിഡിറ്റി
pathology,0.75,0.125,പാത്തോളജി
character,0.875,0.0,പ്രതീകം
fettle,0.75,0.0,ഭ്രൂണം
time,0.75,0.0,സമയം
simply,0.75,0.0,ലളിതമായി
downright,0.75,0.0,നേരായ
recuperate,0.75,0.0,സുഖം പ്രാപിക്കുക
redound,0.75,0.0,റീഡ ound ണ്ട്
enervate,0.75,0.0,enervate
delouse,0.75,0.0,delouse
think,0.75,0.0,ചിന്തിക്കുക
receive,0.75,0.0,സ്വീകരിക്കുക
consider,0.75,0.0,പരിഗണിക്കുക
give,0.75,0.125,കൊടുക്കുക
filigree,0.875,0.0,ഫിലിഗ്രി
stultify,0.75,0.125,stultify
see,0.75,0.0,കാണുക
vest,0.875,0.0,വെസ്റ്റ്
agree,0.875,0.0,സമ്മതിക്കുന്നു
suit,0.875,0.0,സ്യൂട്ട്
belong,0.75,0.0,ഉൾപ്പെടുന്നു
make,0.875,0.0,ഉണ്ടാക്കുക
sensation,0.9,0.0,സംവേദനം
thriving,0.9,0.0,അഭിവൃദ്ധി പ്രാപിക്കുന്നു
marvels,0.9,0.0,അത്ഭുതങ്ങൾ
vibrant,0.9,0.0,ibra ർജ്ജസ്വലമായ
fragrant,0.9,0.0,സുഗന്ധം
enthusiast,0.9,0.0,ഉത്സാഹിയായ
successfully,0.9,0.0,വിജയകരമായി
gifted,0.9,0.0,സമ്മാനം
unequivocal,0.9,0.0,വ്യക്തമല്ലാത്ത
readily,0.9,0.0,എളുപ്പത്തിൽ
solicitously,0.9,0.0,അഭ്യർത്ഥനയോടെ
enchantingly,0.9,0.0,മോഹിപ്പിക്കുന്ന
gold,0.9,0.0,സ്വർണം
comforting,0.9,0.0,ആശ്വാസകരമാണ്
portable,0.9,0.0,പോർട്ടബിൾ
sensations,0.9,0.0,സംവേദനങ്ങൾ
truthful,0.9,0.0,സത്യസന്ധൻ
notably,0.9,0.0,പ്രധാനപ്പെട്ടത്
bonny,0.9,0.0,ബോണി
adulate,0.9,0.0,adulate
jolly,0.9,0.0,ജോളി
supurb,0.9,0.0,supurb
aspiration,0.9,0.0,അഭിലാഷം
venerate,0.9,0.0,ആരാധിക്കുക
liking,0.9,0.0,ഇഷ്ടപ്പെടുന്നു
sweeping,0.9,0.0,തൂത്തുവാരൽ
flexible,0.9,0.0,വഴങ്ങുന്ന
liberty,0.9,0.0,സ്വാതന്ത്ര്യം
refresh,0.9,0.0,പുതുക്കുക
vivacious,0.9,0.0,സജീവമായ
gem,0.9,0.0,രത്നം
impress,0.9,0.0,മതിപ്പുളവാക്കുക
trumpet,0.9,0.0,കാഹളം
entrust,0.9,0.0,ഏൽപ്പിക്കുക
catchy,0.9,0.0,ആകർഷകമായ
talents,0.9,0.0,കഴിവുകൾ
retractable,0.9,0.0,പിൻവലിക്കാവുന്ന
passionate,0.9,0.0,വികാരാധീനമായ
triumph,0.9,0.0,വിജയം
afordable,0.9,0.0,afordable
congratulations,0.9,0.0,അഭിനന്ദനങ്ങൾ
bargain,0.9,0.0,വിലപേശൽ
glad,0.9,0.0,സന്തോഷിപ്പിക്കുന്നു
