Term,PosScore,NegScore,Telugu
rare,0.0,0.875,అరుదైన
avirulent,0.0,0.875,వీర్య కొరత
nonadhesive,0.0,0.75,nonadhesive
ungummed,0.0,0.75,ఆమె గర్భవతి
acrophobic,0.0,0.75,ఎత్తు ప్రదేశాలంటే భయం
agoraphobic,0.0,0.75,బహిరంగ ప్రదేశాలకు భయపడే
algophobic,0.0,0.875,algophobic
claustrophobic,0.0,0.75,క్లాస్త్రోఫోబియా
mysophobic,0.0,0.75,mysophobic
xenophobic,0.0,0.75,జెనోఫోబిక్
unagitated,0.0,0.75,unagitated
malapropos,0.25,0.75,malapropos
aphasic,0.0,0.75,మూగ
thunderous,0.125,0.875,మెరుపులు
unconscious,0.0,0.75,అపస్మారకంగా
unstratified,0.0,0.75,అన్స్టార్టిఫైడ్
fugly,0.0,0.75,Fugly
unbanded,0.0,0.75,unbanded
maleficent,0.0,0.75,మేలెఫిసెంట్లు
venomed,0.125,0.75,venomed
vixenish,0.0,0.875,vixenish
uncompartmented,0.0,0.75,uncompartmented
slate-black,0.0,0.75,స్లేట్-నలుపు
augean,0.222,0.778,augean
dirty-faced,0.0,0.75,మురికి ముఖములు
smudgy,0.0,0.75,smudgy
unswept,0.0,0.75,unswept
unwashed,0.0,0.75,ఉతకని
uncousinly,0.0,0.75,uncousinly
fogbound,0.0,0.75,fogbound
unpublishable,0.25,0.75,unpublishable
comfortless,0.0,0.875,అనాథ లనుగా
uncommercial,0.0,0.75,uncommercial
unworkmanlike,0.25,0.75,unworkmanlike
noncompetitive,0.0,0.75,noncompetitive
uncommitted,0.0,0.75,అంగీకరించని
unconquerable,0.125,0.75,ఒకరకమైన నమ్మకాలు
ravaging,0.0,0.75,ravaging
unchallengeable,0.0,0.75,unchallengeable
unargumentative,0.0,0.75,unargumentative
noncontentious,0.0,0.75,noncontentious
inconvenient,0.125,0.75,అసౌకర్యంగా
unconventional,0.0,0.75,అసాధారణ
conformist,0.0,0.75,ఇంగ్లాండ్ చర్చి సాంప్రదాయాలను పాటించే
unpersuasive,0.0,0.75,unpersuasive
raw,0.0,0.75,ముడి
untoasted,0.0,0.75,untoasted
putrid,0.3,0.7,చెడిపోయిన
antiphlogistic,0.0,0.75,వేడిని తగ్గించే
wrongheaded,0.25,0.75,wrongheaded
uncorrected,0.0,0.75,సరిచేయబడలేని
unremedied,0.0,0.75,unremedied
constipated,0.0,0.75,constipated
overcredulous,0.0,0.75,అన్నిటినీ నమ్మే వారు
censorious,0.0,0.875,censorious
uncritical,0.0,0.75,అశాస్త్రీయమని
noncurrent,0.0,0.75,noncurrent
knocked-out,0.0,0.875,పడగొట్టాడు అవుట్
storm-beaten,0.0,0.75,తుఫాన్- పరాజయం
undatable,0.0,0.75,undatable
undeclared,0.0,0.75,అస్పష్టమైన
indefeasible,0.0,0.75,అలోప్యమయిన
nonresistant,0.0,0.75,nonresistant
infrangible,0.0,0.75,infrangible
peremptory,0.0,0.75,అనుల్లంఘనీయ
undemonstrative,0.0,0.75,undemonstrative
undeniable,0.0,0.875,కాదనలేనిది
dependent,0.0,0.75,ఆధారపడి
undescriptive,0.125,0.75,undescriptive
undiplomatic,0.0,0.75,undiplomatic
alienating,0.0,0.75,పరాధీన
indirect,0.0,0.75,పరోక్ష
promiscuous,0.0,0.75,సంకరమైన
unselective,0.125,0.75,unselective
indistinct,0.25,0.75,గజిబిజిగా
indiscrete,0.0,0.75,వియ్యం
untheatrical,0.0,0.75,untheatrical
uneducated,0.25,0.75,నిరక్షరాస్య
sisyphean,0.0,0.75,Sisyphean
unemployable,0.0,0.75,unemployable
unburdened,0.0,0.75,unburdened
unexportable,0.25,0.75,unexportable
remittent,0.125,0.75,రేమిటేంట్
nostalgic,0.0,0.75,వ్యామోహం
homesick,0.0,0.75,ఇంటి ధ్యాస
unquestionable,0.0,0.75,లేనిదాన్ని
patchy,0.0,0.75,చెదురుమదురుగా
unparallel,0.0,0.875,రంగా
unexchangeable,0.25,0.75,unexchangeable
nonextant,0.0,0.75,nonextant
unexpendable,0.25,0.75,unexpendable
fingerless,0.0,0.75,వేళ్ళు
inextinguishable,0.0,0.875,అణచరాని
unfastidious,0.0,0.75,unfastidious
blubbery,0.125,0.75,blubbery
infelicitous,0.0,0.75,అమంగళమయిన
unhewn,0.0,0.75,unhewn
unsuitable,0.0,0.75,పనికిరాదని
adventive,0.0,0.75,adventive
abject,0.0,1.0,నికృష్ట
niffy,0.0,0.75,niffy
putrid-smelling,0.3,0.7,చెడిపోయిన-స్మెల్లింగ్
unfree,0.0,0.75,స్వేచ్ఛారహిత
addled,0.0,0.75,addled
day-old,0.0,0.875,రోజుల వయసు
unfruitful,0.0,0.75,unfruitful
sperm-filled,0.0,0.75,స్పెర్మ్ నిండిన
nonfunctional,0.0,0.75,నిరుపయోగమైన
nonproprietary,0.0,0.75,nonproprietary
base,0.0,0.875,బేస్
pseudo,0.0,0.75,మిధ్యా
synthetic,0.125,0.875,కృత్రిమ
no-go,0.0,0.75,లేదు వెళ్ళు
ill,0.0,0.875,అనారోగ్యంతో
swingeing,0.0,0.875,swingeing
uncool,0.0,0.875,uncool
unsuitable,0.222,0.778,పనికిరాదని
evil-minded,0.0,0.75,దుర్మనస్కుడైన
churlish,0.0,0.875,churlish
churlish,0.25,0.75,churlish
fulminant,0.0,0.75,తీవ్రమైన కాలేయపు
appreciative,0.25,0.75,అభినందనీయులు
unappreciative,0.0,0.75,unappreciative
ill,0.0,0.75,అనారోగ్యంతో
bloodshot,0.0,0.75,జేవురించిన
caseous,0.0,0.75,caseous
inflamed,0.0,0.875,ఎర్రబడిన
sore-eyed,0.0,0.75,గొంతు దృష్టిగల
varicose,0.0,0.875,అనారోగ్య
light-duty,0.0,0.75,తేలిక-విధి
low-level,0.0,0.75,కింది స్థాయి
nonimitative,0.0,0.75,nonimitative
yellow,0.0,0.75,పసుపు
insoluble,0.0,0.75,కరగని
torrid,0.0,0.75,అత్యుష్ణ
stygian,0.0,0.75,Stygian
undesigned,0.0,0.75,undesigned
unsmoothed,0.0,0.75,unsmoothed
anisotropic,0.0,0.75,విషమదిశాత్మకంగా
bittersweet,0.0,0.75,సుఖ
joyless,0.125,0.75,joyless
unsmiling,0.0,0.75,unsmiling
watertight,0.0,0.75,నీళ్ళు చొరవని
unlisted,0.0,0.75,అన్లిస్టెడ్
unextended,0.0,0.75,unextended
stray,0.0,0.75,చెదురుమదురు
straying,0.0,0.75,straying
apotropaic,0.0,0.75,apotropaic
unbranded,0.0,0.75,చేయని
unfeminine,0.25,0.75,unfeminine
unconcerned,0.0,0.75,కానీ పట్టించుకోవు
unsoldierly,0.0,0.75,వీరుని లక్షణము
immobile,0.0,0.75,కదలిక
unmodified,0.0,0.75,మెరుగుపర్చిన
unadapted,0.0,0.75,unadapted
univalent,0.0,0.75,univalent
factitious,0.0,0.75,కల్పితమైన
supernatural,0.0,0.75,అతీంద్రియ
grotty,0.0,0.875,విచారకరమైన
subnormal,0.0,0.75,సామాన్య స్థితికి క్రింద
