Term,PosScore,NegScore,Gujarati
rare,0.0,0.875,દુર્લભ
avirulent,0.0,0.875,ઉત્સાહી
nonadhesive,0.0,0.75,nonadhesive
ungummed,0.0,0.75,તે ગર્ભવતી છે
acrophobic,0.0,0.75,એક્રોફોબિક
agoraphobic,0.0,0.75,આશ્ચર્યજનક
algophobic,0.0,0.875,અલ્ગોફોબિક
claustrophobic,0.0,0.75,ક્લોસ્ટ્રોફોબિક
mysophobic,0.0,0.75,માયસોફોબીક
xenophobic,0.0,0.75,ઝેનોફોબિક
unagitated,0.0,0.75,બેભાન
malapropos,0.25,0.75,malapropos
aphasic,0.0,0.75,અસ્પષ્ટ
thunderous,0.125,0.875,ગાજવીજ
unconscious,0.0,0.75,બેભાન
unstratified,0.0,0.75,અનિયંત્રિત
fugly,0.0,0.75,fugly
unbanded,0.0,0.75,અનબેન્ડેડ
maleficent,0.0,0.75,નબળુ
venomed,0.125,0.75,ઝેરવાળું
vixenish,0.0,0.875,vixenish
uncompartmented,0.0,0.75,બિનભાગી
slate-black,0.0,0.75,સ્લેટ બ્લેક
augean,0.222,0.778,ઓજિયન
dirty-faced,0.0,0.75,ગંદા-ચહેરો
smudgy,0.0,0.75,smudgy
unswept,0.0,0.75,અદ્યતન
unwashed,0.0,0.75,ધોવાઇ
uncousinly,0.0,0.75,અજાણતાં
fogbound,0.0,0.75,ધુમ્મસ
unpublishable,0.25,0.75,અપ્રકાશિત
comfortless,0.0,0.875,બેચેન
uncommercial,0.0,0.75,અસામાન્ય
unworkmanlike,0.25,0.75,બિનકાર્યક્ષમ
noncompetitive,0.0,0.75,બિન-સ્પર્ધાત્મક
uncommitted,0.0,0.75,બેશક
unconquerable,0.125,0.75,બેકાબૂ
ravaging,0.0,0.75,તિરસ્કાર
unchallengeable,0.0,0.75,બેચેન
unargumentative,0.0,0.75,ગેરવાજબી
noncontentious,0.0,0.75,અસંસ્કારી
inconvenient,0.125,0.75,અસુવિધાજનક
unconventional,0.0,0.75,બિનપરંપરાગત
conformist,0.0,0.75,અનુરૂપ
unpersuasive,0.0,0.75,નિરુપયોગી
raw,0.0,0.75,કાચો
untoasted,0.0,0.75,ટોસ્ટેડ
putrid,0.3,0.7,પુટ્રિડ
antiphlogistic,0.0,0.75,એન્ટિફ્લોગિસ્ટિક
wrongheaded,0.25,0.75,ખોટું માથું
uncorrected,0.0,0.75,ગેરવાજબી
unremedied,0.0,0.75,નિરંકુશ
constipated,0.0,0.75,કબજિયાત
overcredulous,0.0,0.75,અતિશય આશ્ચર્યજનક
censorious,0.0,0.875,સંવેદનશીલ
uncritical,0.0,0.75,ગેરવાજબી
noncurrent,0.0,0.75,અસામાન્ય
knocked-out,0.0,0.875,બહાર ફેંકાઇ ગયું
storm-beaten,0.0,0.75,તોફાન-કોઈ નહીં
undatable,0.0,0.75,અનડેટેબલ
undeclared,0.0,0.75,અઘોષિત
indefeasible,0.0,0.75,અનિશ્ચિત
nonresistant,0.0,0.75,બિન-પ્રતિરોધક
infrangible,0.0,0.75,અફર
peremptory,0.0,0.75,પેરેમ્પ્ટોરી
undemonstrative,0.0,0.75,નિર્દોષ
undeniable,0.0,0.875,નિર્વિવાદ
dependent,0.0,0.75,આશ્રિત
undescriptive,0.125,0.75,અવર્ણનીય
undiplomatic,0.0,0.75,અવિચારી
alienating,0.0,0.75,વિમુખ
indirect,0.0,0.75,પરોક્ષ
promiscuous,0.0,0.75,વલણવાળું
unselective,0.125,0.75,ચૂંટેલા
indistinct,0.25,0.75,અસ્પષ્ટ
indiscrete,0.0,0.75,ઉદાસીનતાથી
untheatrical,0.0,0.75,અજાણ્યા
uneducated,0.25,0.75,અભણ
sisyphean,0.0,0.75,સિસિફિયન
unemployable,0.0,0.75,બેરોજગાર
unburdened,0.0,0.75,અનબર્ડેડ
unexportable,0.25,0.75,અગમ્ય
remittent,0.125,0.75,મોકલે છે
nostalgic,0.0,0.75,ગમગીની
homesick,0.0,0.75,ઘરેલું
unquestionable,0.0,0.75,નિર્વિવાદ
patchy,0.0,0.75,મોહક
unparallel,0.0,0.875,અપ્રતિમ
unexchangeable,0.25,0.75,બદલી ન શકાય તેવું
nonextant,0.0,0.75,કંઈ નહીં
unexpendable,0.25,0.75,અસ્પષ્ટ
fingerless,0.0,0.75,આંગળી વગરનું
inextinguishable,0.0,0.875,અગમ્ય
unfastidious,0.0,0.75,બેશરમ
blubbery,0.125,0.75,બ્લબબેરી
infelicitous,0.0,0.75,અપમાનજનક
unhewn,0.0,0.75,અજાણ
unsuitable,0.0,0.75,અનુચિત
adventive,0.0,0.75,એડવેન્ટિવ
abject,0.0,1.0,પદાર્થ
niffy,0.0,0.75,niffy
putrid-smelling,0.3,0.7,પુડ્રિડ-ગંધ
unfree,0.0,0.75,અસફળ
addled,0.0,0.75,ઉમેરવામાં
day-old,0.0,0.875,દિવસ જૂનું
unfruitful,0.0,0.75,ફળદાયી
sperm-filled,0.0,0.75,વીર્યથી ભરેલું
nonfunctional,0.0,0.75,બિનફંક્શનલ
nonproprietary,0.0,0.75,બિનઅસરકારી
base,0.0,0.875,પાયો
pseudo,0.0,0.75,સ્યુડો
synthetic,0.125,0.875,કૃત્રિમ
no-go,0.0,0.75,ના જાઓ
ill,0.0,0.875,બીમાર
swingeing,0.0,0.875,swingeing
uncool,0.0,0.875,uncool
unsuitable,0.222,0.778,અનુચિત
evil-minded,0.0,0.75,દુષ્ટ મનનું
churlish,0.0,0.875,ચૂર્લીશ
churlish,0.25,0.75,ચૂર્લીશ
fulminant,0.0,0.75,સંપૂર્ણ
appreciative,0.25,0.75,પ્રશંસાત્મક
unappreciative,0.0,0.75,અપ્રસન્ન
ill,0.0,0.75,બીમાર
bloodshot,0.0,0.75,લોહીનો શ .ટ
caseous,0.0,0.75,કેસલ
inflamed,0.0,0.875,સોજો
sore-eyed,0.0,0.75,દુoreખદાયક
varicose,0.0,0.875,કાયમની અતિશય ફૂલેલી
light-duty,0.0,0.75,પ્રકાશ ફરજ
low-level,0.0,0.75,નિમ્ન-સ્તર
nonimitative,0.0,0.75,બિનહરીફ
yellow,0.0,0.75,પીળો
insoluble,0.0,0.75,અદ્રાવ્ય
torrid,0.0,0.75,ટોરીડ
stygian,0.0,0.75,સ્ટિજિયન
