Term,PosScore,NegScore,Urdu
direct,0.75,0.0,براہ راست
adoptable,0.75,0.0,قابل قبول
due,0.75,0.0,وجہ سے
ravishing,0.75,0.0,حیرت انگیز
benefic,0.75,0.0,فائدہ مند
unsurpassable,1.0,0.0,بے شک
thorough,0.75,0.0,مکمل
cautious,0.75,0.0,محتاط
competent,0.75,0.0,مجاز
workmanlike,0.75,0.0,workman Like
competent,0.75,0.0,مجاز
full-blown,0.75,0.0,مکمل تباہ
conspicuous,0.75,0.0,واضح
differentiable,0.75,0.0,امتیازی
constant,0.75,0.125,مستقل
incorrupt,0.75,0.25,غیر متعل .ق
corn-fed,0.75,0.0,مکئی سے کھلایا
decorous,0.75,0.0,سجاوٹ
definite,0.75,0.0,یقینی
importunate,0.75,0.125,امپورٹ کریں
plummy,0.75,0.0,پلمی
discerning,0.875,0.0,سمجھدار
incisive,0.75,0.0,incisive
metal-cutting,0.75,0.0,دھات کاٹنے
bounden,0.875,0.0,پابند
disenchanted,0.875,0.0,مایوس کن
exportable,0.75,0.0,قابل برآمد
enlightened,0.75,0.0,روشن ضمیر
estimable,1.0,0.0,اندازہ لگانا
exchangeable,0.75,0.0,قابل تبادلہ
expendable,0.75,0.0,قابل خرچ
extricable,0.75,0.0,extricable
fit,0.75,0.0,فٹ
pleasant-smelling,0.75,0.0,خوشگوار خوشبو
goodish,0.75,0.0,اچھ .ا
goody-goody,0.875,0.0,goody-goody
white,0.75,0.0,سفید
good-natured,0.75,0.0,نیک مزاج
gainly,0.875,0.0,فائدہ مند
bouncing,0.75,0.0,اچھال
firm,0.875,0.0,فرم
hearty,0.75,0.0,دل سے
well-preserved,0.75,0.0,اچھی طرح سے محفوظ
laureate,0.75,0.0,انعام یافتہ
droll,0.75,0.0,ڈرول
measurable,0.75,0.0,پیمائش
intellectual,0.875,0.0,دانشور
inviting,0.75,0.0,مدعو کرنا
gladsome,0.75,0.0,خوش کن
singable,0.75,0.0,گانے قابل
moralistic,0.75,0.125,اخلاقیات
incorrupt,0.75,0.25,غیر متعل .ق
licit,0.75,0.0,بولی
incumbent,0.875,0.0,موجودہ
unimpassioned,0.75,0.0,بے رحم
finished,0.75,0.0,ختم
microscopic,0.75,0.0,خوردبین
halal,0.75,0.0,حلال
kosher,0.75,0.0,کوشر
disarming,0.75,0.125,غیر مسلح کرنا
white,0.75,0.125,سفید
ladylike,0.75,0.0,عورت کی طرح
unprintable,0.75,0.25,غیر پرنٹ
diffident,0.875,0.0,مختلف
answerable,0.875,0.0,جوابدہ
emancipative,0.75,0.125,emancipative
danceable,0.75,0.0,رقص
opposite,0.75,0.125,برعکس
antiseptic,0.75,0.25,جراثیم کش
shapely,0.75,0.0,سڈول
well-proportioned,0.75,0.0,متناسب
sound,0.75,0.0,آواز
straightarrow,0.875,0.125,سیدھا
upper,0.75,0.0,اوپری
banner,0.875,0.0,بینر
gilt-edged,0.75,0.0,گلٹ والا
premium,0.75,0.0,پریمیم
shining,0.75,0.0,چمک
spiffing,0.875,0.0,سپفنگ
choice,0.75,0.125,انتخاب
serviceable,0.75,0.0,قابل خدمت
sacred,0.75,0.0,مقدس
constitutional,0.75,0.0,آئینی
deliverable,0.75,0.0,فراہمی
ducal,0.75,0.0,ڈوکل
masterstroke,0.75,0.0,ماسٹرسٹروک
pleasantry,0.75,0.0,خوشگوار
indignity,0.75,0.0,غصہ
props,0.875,0.0,سہارے
titillation,0.75,0.0,عنوان
beatification,0.75,0.0,خوبصورتی
rambouillet,0.75,0.0,rambouillet
character,0.875,0.0,کردار
drama,0.75,0.0,ڈرامہ
chirpiness,0.75,0.0,چیخ پن
vivacity,0.75,0.25,چکرا پن
mettlesomeness,0.75,0.0,mettlesomeness
bluffness,0.875,0.0,bluffness
picturesqueness,0.875,0.0,فرحت
pleasingness,0.75,0.0,خوشنودی
attractiveness,0.75,0.0,کشش
innateness,0.75,0.25,فطرت
totality,0.75,0.0,کلیت
looseness,0.75,0.25,ڈھیلا پن
wholesomeness,0.875,0.0,تندرستی
healthfulness,0.875,0.0,صحت مند
trueness,0.75,0.0,سچائی
tastefulness,0.875,0.0,ذائقہ
urbanity,0.875,0.0,شہریت
conscientiousness,0.75,0.0,دیانتداری
safeness,0.75,0.25,صافی
scrupulousness,0.75,0.0,بےچینی
integrity,0.875,0.125,سالمیت
probity,0.75,0.0,امکان
artfulness,0.75,0.0,artfulness
dedication,0.875,0.0,سرشار. لگن
urbanity,0.875,0.0,شہریت
crispness,0.875,0.0,کرکرا پن
extremeness,0.75,0.25,شدت
reasonableness,0.75,0.0,معقولیت
affirmativeness,0.75,0.0,اثبات
importance,0.75,0.125,اہمیت
account,0.875,0.125,کھاتہ
meaningfulness,0.75,0.125,معنی خیزی
shrillness,0.75,0.25,چمک پن
eye,0.75,0.0,آنکھ
logic,0.75,0.0,منطق
judiciousness,0.875,0.0,انصاف پسندی
ear,0.75,0.0,کان
balletomania,0.75,0.0,بیلٹومینیا
mastering,0.75,0.0,ماسٹرنگ
principle,0.75,0.0,اصول
hedonism,0.75,0.0,ہیڈونزم
courtesy,0.75,0.0,بشکریہ
topper,0.75,0.0,ٹاپر
divination,0.875,0.0,تقدیر
moralism,0.75,0.125,اخلاقیات
bonheur,0.875,0.0,خوشی
beneficence,0.75,0.0,فائدہ
criollo,0.75,0.0,کریول
amoralist,0.75,0.0,amoralist
brick,0.75,0.0,اینٹ
first-rater,1.0,0.0,پہلا ریسٹر
out-and-outer,0.75,0.0,باہر اور بیرونی
pleaser,0.75,0.0,براہ کرم
possible,0.75,0.0,ممکن
serendipity,0.75,0.125,Serendipity
antithesis,0.75,0.0,عداوت
contrary,0.75,0.0,برعکس
algidity,0.75,0.25,لجطیت
pathology,0.75,0.125,پیتھالوجی
character,0.875,0.0,کردار
fettle,0.75,0.0,بازیافت
time,0.75,0.0,وقت
simply,0.75,0.0,سیدھے
downright,0.75,0.0,سیدھے
