Term,PosScore,NegScore,Oriya
direct,0.75,0.0,ସିଧାସଳଖ |
adoptable,0.75,0.0,ଗ୍ରହଣଯୋଗ୍ୟ
due,0.75,0.0,ଦେୟ
ravishing,0.75,0.0,କ୍ଷତିକାରକ |
benefic,0.75,0.0,ଲାଭଦାୟକ |
unsurpassable,1.0,0.0,ଅବିସ୍ମରଣୀୟ |
thorough,0.75,0.0,ପୁଙ୍ଖାନୁପୁଙ୍ଖ
cautious,0.75,0.0,ସତର୍କ
competent,0.75,0.0,ଦକ୍ଷ
workmanlike,0.75,0.0,କର୍ମଜୀବୀ ପରି |
competent,0.75,0.0,ଦକ୍ଷ
full-blown,0.75,0.0,ପୁରା ବିସ୍ଫୋରଣ |
conspicuous,0.75,0.0,ସ୍ପଷ୍ଟ
differentiable,0.75,0.0,ଭିନ୍ନକ୍ଷମ |
constant,0.75,0.125,ସ୍ଥିର
incorrupt,0.75,0.25,ଅକ୍ଷୟ
corn-fed,0.75,0.0,ମକା ଖୁଆଇ |
decorous,0.75,0.0,ସାଜସଜ୍ଜା |
definite,0.75,0.0,ନିଶ୍ଚିତ
importunate,0.75,0.125,ଆମଦାନି କରନ୍ତୁ |
plummy,0.75,0.0,ପ୍ଲମି
discerning,0.875,0.0,ବିଚକ୍ଷଣ
incisive,0.75,0.0,ଉତ୍ସାହଜନକ |
metal-cutting,0.75,0.0,ଧାତୁ କାଟିବା |
bounden,0.875,0.0,ବନ୍ଧା
disenchanted,0.875,0.0,ଅସନ୍ତୁଷ୍ଟ
exportable,0.75,0.0,ରପ୍ତାନିଯୋଗ୍ୟ |
enlightened,0.75,0.0,ଆଲୋକିତ
estimable,1.0,0.0,ଆନୁମାନିକ
exchangeable,0.75,0.0,ଅଦଳବଦଳ
expendable,0.75,0.0,ବ୍ୟୟ ଯୋଗ୍ୟ
extricable,0.75,0.0,ଅତିରିକ୍ତ
fit,0.75,0.0,ଫିଟ୍
pleasant-smelling,0.75,0.0,ସୁଗନ୍ଧିତ
goodish,0.75,0.0,ଶୁଭ
goody-goody,0.875,0.0,ଶୁଭ-ଶୁଭ
white,0.75,0.0,ଧଳା
good-natured,0.75,0.0,ଉତ୍ତମ ସ୍ୱଭାବ
gainly,0.875,0.0,ଲାଭ
bouncing,0.75,0.0,ବାଉନ୍ସ
firm,0.875,0.0,ଦୃ firm
hearty,0.75,0.0,ହୃଦୟ
well-preserved,0.75,0.0,ଭଲ-ସଂରକ୍ଷିତ |
laureate,0.75,0.0,ବିଜେତା
droll,0.75,0.0,ଡ୍ରୋଲ୍
measurable,0.75,0.0,ମାପଯୋଗ୍ୟ
intellectual,0.875,0.0,ବ intellectual ଦ୍ଧିକ
inviting,0.75,0.0,ଆମନ୍ତ୍ରଣ
gladsome,0.75,0.0,ଆନନ୍ଦଦାୟକ |
singable,0.75,0.0,ଗୀତ
moralistic,0.75,0.125,ନ moral ତିକବାଦୀ |
incorrupt,0.75,0.25,ଅକ୍ଷୟ
licit,0.75,0.0,ବିଡ୍
incumbent,0.875,0.0,ଅବସରପ୍ରାପ୍ତ
unimpassioned,0.75,0.0,ଅବିଭକ୍ତ
finished,0.75,0.0,ସମାପ୍ତ
microscopic,0.75,0.0,ମାଇକ୍ରୋସ୍କୋପିକ୍ |
halal,0.75,0.0,ଆଇନଗତ
kosher,0.75,0.0,କୋଶର
disarming,0.75,0.125,ନିରସ୍ତ୍ରୀକରଣ |
white,0.75,0.125,ଧଳା
ladylike,0.75,0.0,ladylike
unprintable,0.75,0.25,ମୁଦ୍ରଣଯୋଗ୍ୟ
diffident,0.875,0.0,ଭିନ୍ନ
answerable,0.875,0.0,ଉତ୍ତରଦାୟୀ |
emancipative,0.75,0.125,ମୁକ୍ତି
danceable,0.75,0.0,ନୃତ୍ୟଯୋଗ୍ୟ
opposite,0.75,0.125,ବିପରୀତ
antiseptic,0.75,0.25,ଆଣ୍ଟିସେପ୍ଟିକ୍ |
shapely,0.75,0.0,ଆକୃତିର |
well-proportioned,0.75,0.0,ଭଲ ଅନୁପାତିତ |
sound,0.75,0.0,ଶବ୍ଦ
straightarrow,0.875,0.125,ସିଧା
upper,0.75,0.0,ଉପର
banner,0.875,0.0,ବ୍ୟାନର
gilt-edged,0.75,0.0,gilt-edged
premium,0.75,0.0,ପ୍ରିମିୟମ୍
shining,0.75,0.0,ଉଜ୍ଜ୍ୱଳ
spiffing,0.875,0.0,ସ୍ପିଫିଙ୍ଗ୍ |
choice,0.75,0.125,ପସନ୍ଦ
serviceable,0.75,0.0,ସେବା ଯୋଗ୍ୟ
sacred,0.75,0.0,ପବିତ୍ର
constitutional,0.75,0.0,ସାମ୍ବିଧାନିକ
deliverable,0.75,0.0,ବିତରଣଯୋଗ୍ୟ
ducal,0.75,0.0,ଡୁକାଲ୍ |
masterstroke,0.75,0.0,ମାଷ୍ଟରଷ୍ଟ୍ରୋକ |
pleasantry,0.75,0.0,ପ୍ରସନ୍ନ
indignity,0.75,0.0,କ୍ରୋଧ
props,0.875,0.0,ପ୍ରପ୍ସ |
titillation,0.75,0.0,ଆଖ୍ୟା
beatification,0.75,0.0,ପ୍ରହାର
rambouillet,0.75,0.0,rambouillet
character,0.875,0.0,ବର୍ଣ୍ଣ
drama,0.75,0.0,ନାଟକ
chirpiness,0.75,0.0,ଚିତ୍କାର
vivacity,0.75,0.25,ଜୀବନ୍ତତା |
mettlesomeness,0.75,0.0,mettlesomeness
bluffness,0.875,0.0,ଅସ୍ପଷ୍ଟତା |
picturesqueness,0.875,0.0,ଚିତ୍ର
pleasingness,0.75,0.0,ପ୍ରସନ୍ନତା
attractiveness,0.75,0.0,ଆକର୍ଷଣୀୟତା |
innateness,0.75,0.25,ଅନ୍ତର୍ନିହିତତା |
totality,0.75,0.0,ସମୁଦାୟ
looseness,0.75,0.25,ମୁକ୍ତ
wholesomeness,0.875,0.0,ସୁସ୍ଥତା
healthfulness,0.875,0.0,ସ୍ୱାସ୍ଥ୍ୟ
trueness,0.75,0.0,ସତ୍ୟତା
tastefulness,0.875,0.0,ସ୍ୱାଦ
urbanity,0.875,0.0,ସହରୀତା
conscientiousness,0.75,0.0,ବିବେକ
safeness,0.75,0.25,ନିରାପତ୍ତା
scrupulousness,0.75,0.0,ନିଷ୍ଠୁରତା |
